dataset,feature_set,protocol,family,model,fold,test_subject,perturbation,severity,status,clean_accuracy,perturbed_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,macro_f1_drop,most_affected_class,n_eval_samples,checkpoint_path
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,gaussian_noise,low,ok,0.8091681689415401,0.7746587689930466,0.0345093999484934,0.8031975026717225,0.7697338913824711,0.0334636112892514,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,gaussian_noise,low,ok,0.8239316239316239,0.7282051282051282,0.0957264957264957,0.8223616149593281,0.7382731782416747,0.0840884367176534,walking,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,gaussian_noise,low,ok,0.8105612998522895,0.7348596750369276,0.0757016248153619,0.5443931748341976,0.4956757798550038,0.0487173949791938,ironing,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,gaussian_noise,low,ok,0.7949430397332592,0.7040844679077521,0.090858571825507,0.6626114953706196,0.6295243111734341,0.0330871841971854,ironing,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,gaussian_noise,low,ok,0.8368744098205855,0.7530689329556185,0.0838054768649669,0.828298732474857,0.743655452142681,0.0846432803321759,ironing,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,gaussian_noise,low,ok,0.8525855415487522,0.7666580910728068,0.0859274504759454,0.7811061213572339,0.70935948628223,0.0717466350750039,ironing,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,gaussian_noise,low,ok,0.86508155930329,0.7749516173624551,0.0901299419408349,0.7740096465925091,0.7668598673817931,0.007149779210716,ironing,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,gaussian_noise,low,ok,0.7924435721295388,0.7519627085377821,0.0404808635917566,0.7797713652112575,0.733954057048337,0.0458173081629204,sitting,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,gaussian_noise,low,ok,0.6632653061224489,0.7244897959183674,-0.0612244897959184,0.1139351446099912,0.1050295857988165,0.0089055588111746,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,gaussian_noise,low,ok,0.8230404980297361,0.7491307659194013,0.0739097321103348,0.8221990226076247,0.7579414798551737,0.0642575427524509,ironing,30199.0,
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,gaussian_noise,medium,ok,0.8091681689415401,0.6085500901364924,0.2006180788050476,0.8031975026717225,0.594455651957291,0.2087418507144315,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,gaussian_noise,medium,ok,0.8239316239316239,0.5137973137973137,0.3101343101343101,0.8223616149593281,0.5191259387768253,0.3032356761825028,ironing,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,gaussian_noise,medium,ok,0.8105612998522895,0.5457902511078286,0.2647710487444609,0.5443931748341976,0.3762047506431676,0.1681884241910299,ironing,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,gaussian_noise,medium,ok,0.7949430397332592,0.5006946373992776,0.2942484023339816,0.6626114953706196,0.414217536052524,0.2483939593180956,walking,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,gaussian_noise,medium,ok,0.8368744098205855,0.6050519357884797,0.2318224740321057,0.828298732474857,0.5936246252129336,0.2346741072619234,ironing,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,gaussian_noise,medium,ok,0.8525855415487522,0.6012348855158219,0.2513506560329303,0.7811061213572339,0.5476189094406332,0.2334872119166007,ironing,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,gaussian_noise,medium,ok,0.86508155930329,0.5349737351396184,0.3301078241636715,0.7740096465925091,0.5344480799360845,0.2395615666564247,ironing,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,gaussian_noise,medium,ok,0.7924435721295388,0.6126104023552502,0.1798331697742885,0.7797713652112575,0.6173916577987416,0.1623797074125158,ironing,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,gaussian_noise,medium,ok,0.6632653061224489,0.6938775510204082,-0.0306122448979592,0.1139351446099912,0.1024096385542168,0.0115255060557743,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,gaussian_noise,medium,ok,0.8230404980297361,0.5678002582866982,0.2552402397430379,0.8221990226076247,0.583852675058159,0.2383463475494657,ironing,30199.0,
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,gaussian_noise,high,ok,0.8091681689415401,0.3530775173834664,0.4560906515580737,0.8031975026717225,0.3546954301937067,0.4485020724780158,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,gaussian_noise,high,ok,0.8239316239316239,0.2549450549450549,0.568986568986569,0.8223616149593281,0.2111533067914969,0.6112083081678312,standing,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,gaussian_noise,high,ok,0.8105612998522895,0.3131462333825701,0.4974150664697194,0.5443931748341976,0.1906933342212748,0.3536998406129227,walking,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,gaussian_noise,high,ok,0.7949430397332592,0.2667407613225896,0.5282022784106696,0.6626114953706196,0.2378983684073834,0.4247131269632361,cycling,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,gaussian_noise,high,ok,0.8368744098205855,0.2830500472143532,0.5538243626062322,0.828298732474857,0.2622566680077926,0.5660420644670643,walking,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,gaussian_noise,high,ok,0.8525855415487522,0.344996140982763,0.5075894005659891,0.7811061213572339,0.2892555314067891,0.4918505899504448,walking,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,gaussian_noise,high,ok,0.86508155930329,0.3066076859275642,0.5584738733757257,0.7740096465925091,0.2713815573487546,0.5026280892437546,walking,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,gaussian_noise,high,ok,0.7924435721295388,0.4035819430814524,0.3888616290480863,0.7797713652112575,0.4263883976697876,0.3533829675414698,standing,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,gaussian_noise,high,ok,0.6632653061224489,0.5306122448979592,0.1326530612244897,0.1139351446099912,0.1155555555555555,-0.0016204109455643,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,gaussian_noise,high,ok,0.8230404980297361,0.3168647968475777,0.5061757011821584,0.8221990226076247,0.3327215637554385,0.4894774588521861,walking,30199.0,
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,random_channel_dropout,low,ok,0.8091681689415401,0.0942570177697656,0.7149111511717745,0.8031975026717225,0.0318521532244285,0.771345349447294,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,random_channel_dropout,low,ok,0.8239316239316239,0.0879120879120879,0.736019536019536,0.8223616149593281,0.0345374418442079,0.7878241731151202,cycling,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,random_channel_dropout,low,ok,0.8105612998522895,0.1233382570162481,0.6872230428360414,0.5443931748341976,0.0697355357321832,0.4746576391020143,walking,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,random_channel_dropout,low,ok,0.7949430397332592,0.1100305640455682,0.684912475687691,0.6626114953706196,0.0744246670934905,0.5881868282771291,walking,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,random_channel_dropout,low,ok,0.8368744098205855,0.0856940509915014,0.7511803588290841,0.828298732474857,0.0379799037059664,0.7903188287688906,nordic_walking,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,random_channel_dropout,low,ok,0.8525855415487522,0.1067661435554412,0.745819397993311,0.7811061213572339,0.052372588822416,0.7287335325348179,cycling,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,random_channel_dropout,low,ok,0.86508155930329,0.1152889134641968,0.7497926458390931,0.7740096465925091,0.0346304967770592,0.7393791498154499,walking,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,random_channel_dropout,low,ok,0.7924435721295388,0.0836604514229636,0.7087831207065751,0.7797713652112575,0.0376216749639591,0.7421496902472983,walking,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,random_channel_dropout,low,ok,0.6632653061224489,0.0,0.6632653061224489,0.1139351446099912,0.0,0.1139351446099912,rope_jumping,98.0,
