dataset,feature_set,protocol,family,model,fold,test_subject,calibration_percentage,fine_tuning_strategy,uncalibrated_accuracy,calibrated_accuracy,accuracy_improvement,uncalibrated_macro_f1,calibrated_macro_f1,macro_f1_improvement,n_calibration_samples,n_eval_samples,checkpoint_path,status
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,0.0,none,0.8091681689415401,0.8091681689415401,0.0,0.8031975026717225,0.8031975026717225,0.0,0,3883,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,0.01,refit_train_plus_subject_shots,0.8093132154006244,0.8207596253902185,0.01144640998959412,0.803645646690736,0.8159930622435815,0.012347415552845464,39,3844,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,0.05,refit_train_plus_subject_shots,0.8086202222824613,0.8538899430740038,0.045269720791542456,0.8027945337739085,0.8507614128410985,0.047966879067189994,194,3689,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,0.1,refit_train_plus_subject_shots,0.8100143061516452,0.8795422031473533,0.06952789699570816,0.8039220104187009,0.8777191521100342,0.07379714169133322,388,3495,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,0.0,none,0.8239316239316239,0.8239316239316239,0.0,0.8223616149593281,0.8223616149593281,0.0,0,4095,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,0.01,refit_train_plus_subject_shots,0.8231376418352244,0.8209176122348298,-0.0022200296003945796,0.8216711677996039,0.8228210285767661,0.0011498607771621705,41,4054,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,0.05,refit_train_plus_subject_shots,0.8231362467866324,0.8557840616966581,0.03264781491002566,0.8219747498028701,0.8520587763595513,0.030084026556681187,205,3890,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,0.1,refit_train_plus_subject_shots,0.8236092265943012,0.8662143826322931,0.042605156037991865,0.8234654503575819,0.8653067558560302,0.04184130549844833,410,3685,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,0.0,none,0.8105612998522895,0.8105612998522895,0.0,0.5443931748341976,0.5443931748341976,0.0,0,2708,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,0.01,refit_train_plus_subject_shots,0.8112644535621036,0.8265572547556882,0.01529280119358456,0.5445724210448445,0.5531086138305686,0.00853619278572415,27,2681,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,0.05,refit_train_plus_subject_shots,0.8118927322191993,0.8472600077730276,0.03536727555382824,0.5458320165056978,0.5652626499196217,0.019430633413923926,135,2573,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,0.1,refit_train_plus_subject_shots,0.8104226508001642,0.8641772671317193,0.053754616331555094,0.5450573517638937,0.5751853988365139,0.03012804707262018,271,2437,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,0.0,none,0.7949430397332592,0.7949430397332592,0.0,0.6626114953706196,0.6626114953706196,0.0,0,3599,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,0.01,refit_train_plus_subject_shots,0.7953971372438956,0.8074656188605108,0.012068481616615223,0.6629780995588668,0.6730143317616766,0.010036232202809803,36,3563,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,0.05,refit_train_plus_subject_shots,0.7946768060836502,0.8584381398069612,0.06376133372331094,0.6618330905335174,0.7144110412199387,0.05257795068642135,180,3419,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,0.1,refit_train_plus_subject_shots,0.7980858289595554,0.8795924668107441,0.08150663785118872,0.6647382654565405,0.7304983024244569,0.06576003696791644,360,3239,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,0.0,none,0.8368744098205855,0.8368744098205855,0.0,0.828298732474857,0.828298732474857,0.0,0,4236,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,0.01,refit_train_plus_subject_shots,0.8371483071053887,0.8404864091559371,0.0033381020505484083,0.8285377647127511,0.8326897754610895,0.004152010748338375,42,4194,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,0.05,refit_train_plus_subject_shots,0.8359840954274353,0.8496520874751491,0.01366799204771374,0.8270830561681662,0.8421761231186662,0.015093066950499945,212,4024,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,0.1,refit_train_plus_subject_shots,0.8363064008394544,0.8643756558237146,0.02806925498426016,0.8274642067553472,0.8568170272952336,0.029352820539886415,424,3812,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,0.0,none,0.8525855415487522,0.8525855415487522,0.0,0.7811061213572339,0.7811061213572339,0.0,0,3887,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,0.01,refit_train_plus_subject_shots,0.8526507276507277,0.8555093555093555,0.0028586278586277825,0.780880204447343,0.7831459470923313,0.0022657426449883555,39,3848,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,0.05,refit_train_plus_subject_shots,0.8529650690495532,0.8700243704305443,0.0170593013809911,0.7804633674523743,0.7953245338566205,0.014861166404246173,194,3693,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,0.1,refit_train_plus_subject_shots,0.8524871355060034,0.8790737564322469,0.02658662092624353,0.78044595810932,0.8037733449830416,0.0233273868737216,389,3498,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,0.0,none,0.86508155930329,0.86508155930329,0.0,0.7740096465925091,0.7740096465925091,0.0,0,3617,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,0.01,refit_train_plus_subject_shots,0.8651214744484781,0.8695895001396258,0.004468025691147681,0.7738638105027723,0.7779202331742324,0.004056422671460114,36,3581,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,0.05,refit_train_plus_subject_shots,0.8667054714784633,0.8789289871944121,0.012223515715948818,0.7749327085255969,0.8599245959273467,0.08499188740174979,181,3436,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,0.1,refit_train_plus_subject_shots,0.8651305683563748,0.8850998463901689,0.019969278033794113,0.7740620257297929,0.866820837350761,0.0927588116209681,362,3255,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,0.0,none,0.7924435721295388,0.7924435721295388,0.0,0.7797713652112575,0.7797713652112575,0.0,0,4076,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,0.01,refit_train_plus_subject_shots,0.7925650557620818,0.8322180916976456,0.039653035935563796,0.7798423360141152,0.8197338024353562,0.03989146642124097,41,4035,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,0.05,refit_train_plus_subject_shots,0.793646694214876,0.887396694214876,0.09375,0.7810628957442831,0.8751282187655932,0.0940653230213101,204,3872,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,0.1,refit_train_plus_subject_shots,0.7944383860414395,0.9059432933478735,0.11150490730643403,0.7822707704747627,0.8990482692589677,0.11677749878420507,408,3668,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,0.0,none,0.6632653061224489,0.6632653061224489,0.0,0.11393514460999123,0.11393514460999123,0.0,0,98,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,0.01,refit_train_plus_subject_shots,0.6701030927835051,0.7010309278350515,0.030927835051546393,0.11463844797178131,0.11774891774891774,0.0031104697771364292,1,97,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,0.05,refit_train_plus_subject_shots,0.6881720430107527,0.7634408602150538,0.07526881720430101,0.1164695177434031,0.12369337979094076,0.007223862047537666,5,93,,ok
