result_set,feature_set,window_type,model_a,model_b,macro_f1_mean_diff_a_minus_b,macro_f1_diff_ci95_low,macro_f1_diff_ci95_high,wilcoxon_p,rank_biserial_effect,paired_folds
canonical_protocol_only,acc16_gyro,non_overlapping,knn_k5,random_forest,-0.09461041713113161,-0.14797898887473768,-0.04124184538752554,0.00390625,-1.0,9
canonical_protocol_only,acc16_gyro,overlapping,knn_k5,random_forest,-0.0924694098655142,-0.13041517189264729,-0.05452364783838112,0.00390625,-1.0,9
canonical_protocol_only,acc16_gyro_hr,non_overlapping,knn_k5,random_forest,-0.06721524022994718,-0.11020071984649471,-0.02422976061339966,0.0078125,-0.9555555555555556,9
canonical_protocol_only,acc16_gyro_hr,overlapping,knn_k5,random_forest,-0.05875274719957903,-0.10339074569605257,-0.014114748703105487,0.01953125,-0.8666666666666667,9
canonical_protocol_only,acc16_hr,non_overlapping,knn_k5,random_forest,-0.03529992981044336,-0.07798816411841006,0.007388304497523333,0.09765625,-0.6444444444444445,9
canonical_protocol_only,acc16_hr,overlapping,knn_k5,random_forest,-0.040590352561070325,-0.09962370464647427,0.018442999524333613,0.25,-0.4666666666666667,9
canonical_protocol_only_v3,acc16_gyro,non_overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.030960313278269553,0.0007298401737873446,0.06119078638275176,0.07421875,0.6888888888888889,9
canonical_protocol_only_v3,acc16_gyro,overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.014292160985089468,-0.04716952388970855,0.07575384585988748,0.91015625,0.06666666666666667,9
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.02424478638400464,-0.0055074140500098005,0.05399698681801908,0.12890625,0.6,9
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,-0.007057976839292681,-0.04595619871376273,0.031840245035177364,1.0,0.0,9
canonical_protocol_only_v3,acc16_hr,non_overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.010146732802314255,-0.010427900139916749,0.03072136574454526,0.1953125,0.5555555555555556,9
canonical_protocol_only_v3,acc16_hr,overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.023648163505915584,-0.05631022529603885,0.10360655230787003,0.42578125,0.3333333333333333,9
