result_set,feature_set,window_type,family,model,folds,test_subjects,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,comparison_model,wilcoxon_p_vs_best,rank_biserial_effect_vs_best
canonical_protocol_only,acc16_gyro,non_overlapping,baseline,knn_k5,9,"101,102,103,104,105,106,107,108,109",0.7816826543633881,0.09935229450932001,0.6848631215759113,0.2436921849100209,0.4975447262027626,0.8721815169490601,0.8204308243347848,0.07414901469693343,random_forest,0.00390625,-1.0
canonical_protocol_only,acc16_gyro,non_overlapping,baseline,random_forest,9,"101,102,103,104,105,106,107,108,109",0.8778440330210997,0.02455818066228776,0.779473538707043,0.19505273830025496,0.629542731672615,0.9294043457414709,0.8757349182574194,0.05716627738291826,random_forest,,
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,9,"101,102,103,104,105,106,107,108,109",0.7894896808016028,0.09470520245342633,0.675712965205231,0.2443113175003306,0.48791866239425097,0.8635072680162111,0.8270411288291901,0.0717474034599635,random_forest,0.00390625,-1.0
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,9,"101,102,103,104,105,106,107,108,109",0.87893050294572,0.025989256572360876,0.7681823750707454,0.2337327730319102,0.5885194613559714,0.9478452887855193,0.8786304961228286,0.05558578185251244,random_forest,,
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,9,"101,102,103,104,105,106,107,108,109",0.7831154008376393,0.1209320179147633,0.6788714610299824,0.24557316849230545,0.4901072136838338,0.867635708376131,0.8291438979567162,0.06903871256519281,random_forest,0.0078125,-0.9555555555555556
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,9,"101,102,103,104,105,106,107,108,109",0.8811105219105211,0.03870841378187493,0.7460867012599296,0.21933139241986468,0.5774936686264978,0.9146797338933614,0.8806707098719784,0.059671277403405706,random_forest,,
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,9,"101,102,103,104,105,106,107,108,109",0.7964853026557552,0.1032097766109728,0.6857895114722181,0.24162046820526487,0.500063578528449,0.8715154444159873,0.8363069417367157,0.06662038056222187,random_forest,0.01953125,-0.8666666666666667
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,9,"101,102,103,104,105,106,107,108,109",0.8798976852058267,0.042640088545641455,0.7445422586717971,0.213069544146594,0.5807625087090931,0.9083220086345012,0.8821788748792447,0.06047643156032793,random_forest,,
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,9,"101,102,103,104,105,106,107,108,109",0.8067661122105908,0.04683031479225401,0.6791225766784137,0.22221852659437952,0.5083102962632083,0.849934857093619,0.8221594678013214,0.06802714112477691,random_forest,0.09765625,-0.6444444444444445
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,9,"101,102,103,104,105,106,107,108,109",0.8541210736356588,0.053728581005767086,0.714422506488857,0.2199546061851066,0.5453504293488372,0.8834945836288768,0.8587633588462156,0.07419011117191547,random_forest,,
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,9,"101,102,103,104,105,106,107,108,109",0.8054282801537033,0.05878216414387493,0.6788538664535241,0.23064060893250277,0.5015678004720714,0.8561399324349768,0.8258314888889304,0.06759217265167257,random_forest,0.25,-0.4666666666666667
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,9,"101,102,103,104,105,106,107,108,109",0.8508481406965014,0.05912989478747315,0.7194442190145944,0.21863967283011101,0.5513828891259538,0.8875055489032351,0.8575853513236897,0.07811406857874471,random_forest,,
