result_set,feature_set,window_type,protocol,family,model,activity_group,support,sensitivity,specificity,main_confusion,main_confusion_count
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,household,3226,0.8384996900185989,0.9565692204301075,household -> posture,320
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,jump,382,0.743455497382199,0.9989829129373474,jump -> locomotion,32
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,locomotion,5378,0.9393826701375976,0.9648277276456112,locomotion -> posture,144
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,posture,4425,0.9186440677966101,0.94077533862681,posture -> household,297
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,stairs,1719,0.774869109947644,0.9863544851241518,stairs -> locomotion,160
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,household,3226,0.9485430874147551,0.9455645161290323,household -> posture,110
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,jump,382,0.8455497382198953,0.9997287767832926,jump -> household,38
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,locomotion,5378,0.9310152473038305,0.9908736669401148,locomotion -> household,202
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,posture,4425,0.9267796610169492,0.9653432975245213,posture -> household,302
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,stairs,1719,0.8278068644560791,0.9922451718738349,stairs -> posture,141
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,household,660,0.8954545454545455,0.9809805579036348,household -> posture,51
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,jump,72,0.9027777777777778,0.9989844278943805,jump -> household,4
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,locomotion,1087,0.9549218031278749,0.9865910263022176,locomotion -> posture,28
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,posture,861,0.9651567944250871,0.9501154734411086,posture -> household,24
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,stairs,346,0.8641618497109826,0.9925373134328358,stairs -> posture,27
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,household,660,0.9575757575757575,0.9657650042265427,household -> posture,19
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,jump,72,0.9166666666666666,1.0,jump -> household,5
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,locomotion,1087,0.9576816927322908,0.9963898916967509,locomotion -> household,21
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,posture,861,0.959349593495935,0.9755196304849885,posture -> household,33
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,stairs,346,0.8728323699421965,0.9932835820895523,stairs -> household,22
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,household,6446,0.8406763884579584,0.9606365511724835,household -> posture,636
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,jump,762,0.7454068241469817,0.9988789618507321,jump -> locomotion,56
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,locomotion,10734,0.9434507173467487,0.965579244798356,locomotion -> posture,264
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,posture,8835,0.9207696661007357,0.9427073581726269,posture -> household,518
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,stairs,3422,0.7936879018118059,0.9861074803002576,stairs -> locomotion,275
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,household,6446,0.9509773502947564,0.9468277691239001,household -> posture,216
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,jump,762,0.8490813648293963,0.9997622040289431,jump -> household,73
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,locomotion,10734,0.9336687162288057,0.9913691240688415,locomotion -> household,380
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,posture,8835,0.9245048104131296,0.9670473694064782,posture -> household,594
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,stairs,3422,0.8351841028638223,0.9913358479291929,stairs -> posture,267
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,household,1268,0.9211356466876972,0.9809304274937133,household -> posture,75
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,jump,161,0.8819875776397516,0.999319612178942,jump -> household,7
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,locomotion,2145,0.9547785547785548,0.9861360718870347,locomotion -> posture,56
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,posture,1790,0.9664804469273743,0.9564705882352941,posture -> household,40
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,stairs,676,0.8535502958579881,0.9923564504101416,stairs -> posture,51
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,random_forest,household,1268,0.9716088328075709,0.9715004191114837,household -> posture,27
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,random_forest,jump,161,0.8695652173913043,0.9998299030447355,jump -> household,16
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,random_forest,locomotion,2145,0.965967365967366,0.9984595635430038,locomotion -> posture,31
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,random_forest,posture,1790,0.9653631284916201,0.9790588235294118,posture -> household,62
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,random_forest,stairs,676,0.9112426035502958,0.9962714392244594,stairs -> household,28
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,household,3226,0.8484190948543088,0.960013440860215,household -> posture,323
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,jump,382,0.7486910994764397,0.9995253593707621,jump -> locomotion,41
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,locomotion,5378,0.949237634808479,0.9650328137817884,locomotion -> posture,127
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,posture,4425,0.9224858757062147,0.9471275105091079,posture -> household,315
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,stairs,1719,0.8091913903432228,0.9896353739467602,stairs -> locomotion,168
