result_set,feature_set,window_type,model_a,model_b,macro_f1_mean_diff_a_minus_b,paired_folds
canonical_protocol_only,acc16_gyro,non_overlapping,knn_k5,random_forest,-0.09461041713113161,9
canonical_protocol_only,acc16_gyro,overlapping,knn_k5,random_forest,-0.0924694098655142,9
canonical_protocol_only,acc16_gyro_hr,non_overlapping,knn_k5,random_forest,-0.06721524022994718,9
canonical_protocol_only,acc16_gyro_hr,overlapping,knn_k5,random_forest,-0.05875274719957903,9
canonical_protocol_only,acc16_hr,non_overlapping,knn_k5,random_forest,-0.03529992981044336,9
canonical_protocol_only,acc16_hr,overlapping,knn_k5,random_forest,-0.040590352561070325,9
canonical_protocol_only_v3,acc16_gyro,non_overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.030960313278269553,9
canonical_protocol_only_v3,acc16_gyro,overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.014292160985089468,9
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.02424478638400464,9
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,-0.007057976839292681,9
canonical_protocol_only_v3,acc16_hr,non_overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.010146732802314255,9
canonical_protocol_only_v3,acc16_hr,overlapping,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.023648163505915584,9
