result_set,feature_set,window_type,family,model,test_subject,n_test_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,101,12.0,0.9008776458440888,0.9018281234397166,0.9046565900203198,0.9003897165968454
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,102,12.0,0.8334965719882468,0.8509817210380551,0.8196602757555836,0.818671776706317
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.870919881305638,0.8843362124851418,0.581719648427854,0.868387756370822
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.9337047353760446,0.9334373102878568,0.772323855735682,0.932535367987073
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.8806818181818182,0.8844910097706978,0.8791503821780696,0.8770953504951322
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.9427539969056214,0.867808541133026,0.8606346391079535,0.943817220744822
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.975609756097561,0.973091739787847,0.8891436829304077,0.9761799195680936
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.7047244094488189,0.6894833151102225,0.6182917242160457,0.6463159179837044
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,0.65,0.65,0.0656565656565656,0.7878787878787878
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,101,12.0,0.8771295818275684,0.8788123950393519,0.8808414436076214,0.8752036322812705
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,102,12.0,0.8050930460333007,0.773061158467092,0.7379184021851136,0.7885945378750839
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,103,8.0,0.9124629080118696,0.9132511351461768,0.6078580957155203,0.9156715319886088
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,104,10.0,0.8557103064066852,0.8580014363754099,0.6955164543594247,0.8381509979809078
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,105,12.0,0.8925189393939394,0.8984913327394589,0.8936594467654606,0.8883580925035086
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,106,12.0,0.8958225889633832,0.8666623780444286,0.826761051568533,0.8970079326770942
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,107,11.0,0.975609756097561,0.9697708871186076,0.8904609851830356,0.975602470053099
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,108,12.0,0.6619094488188977,0.6704091217524661,0.5795786651393463,0.619233277913593
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,109,1.0,0.0,0.0,0.0,0.0
canonical_protocol_only,acc16_gyro,non_overlapping,baseline,knn_k5,101,,0.8083247687564235,0.8016226688751716,0.808441611316277,0.8094729339910681
