result_set,feature_set,window_type,protocol,family,model,fine_accuracy,group_accuracy,group_macro_f1
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,0.8121612690019828,0.8881692002643754,0.8651583880390754
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,0.8799735624586913,0.9196298744216788,0.9096973627898383
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,0.8959021810971579,0.9332452081956378,0.92566448315116
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,0.9276272306675479,0.9474553866490416,0.9417282752804204
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,0.8182390145369052,0.8929103612702407,0.8699047968728388
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,0.8823470975860128,0.921388125434617,0.9116048243781641
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,0.9120860927152318,0.9379139072847682,0.927924943737995
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,random_forest,0.9433774834437086,0.9582781456953643,0.9480712408812773
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,0.8208195637805684,0.8989424983476537,0.8793779435034221
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,random_forest,0.87871777924653,0.9267680105750166,0.9156241810798758
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,knn_k5,0.8945803040317251,0.9342366159947125,0.9274251786940599
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,0.9385327164573695,0.9593522802379378,0.9508524821334431
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,0.8280737772773933,0.9059571508990364,0.8866573801218692
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,0.8801284810755323,0.9281433160038411,0.917759612528954
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,0.9190397350993378,0.9468543046357616,0.9419461923079485
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,0.9615894039735099,0.975,0.9718440470727918
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,0.8208195637805684,0.8889623265036352,0.8635282932166607
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,0.8558493060145407,0.9137475214805023,0.9009909423002842
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,0.9101123595505618,0.9434897554527429,0.9336896097429699
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,0.9487772637144746,0.965300727032386,0.9596856209304854
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,0.8230404980297361,0.8929434749495017,0.8689422174113423
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,0.8529090367230703,0.9120500678830424,0.8988785501141046
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,0.9258278145695364,0.9478476821192053,0.9407784290839045
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,0.9673841059602649,0.9806291390728477,0.9777522846206124
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8773340421290451,0.9243139079008572,0.876486441735335
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,0.85294703967041,0.8996611070503023,0.8504644956148297
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9867109634551495,0.992358803986711,0.9899750628949331
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,0.9837209302325581,0.9913621262458472,0.9821194537831927
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8779135400757022,0.9157646590079023,0.9148957813368568
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,0.868882395909423,0.9124443854173584,0.8788809377255886
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9893758300132802,0.9931938911022576,0.9926673277595182
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,0.9855577689243028,0.9912018592297477,0.990455426967433
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8818526147916805,0.9281015349857134,0.8943714680638439
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,0.8585288059007243,0.9069705628280949,0.8627999941731066
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.987375415282392,0.9946843853820598,0.9935873892365619
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,0.9883720930232558,0.9940199335548173,0.9903141454251434
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8754565376186998,0.9098545720167341,0.8839858676502305
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_res,0.8757885649777541,0.9283484959160635,0.9135228744105429
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9885458167330677,0.9956839309428951,0.9954832449282126
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,0.9892098273572377,0.9941899070385126,0.9933137985279208
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.840122267260283,0.8998604558442421,0.8706944699180971
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,0.8332779586683501,0.8970695727290849,0.8696627289492529
canonical_protocol_only_v3,acc16_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9897009966777409,0.9946843853820598,0.9947345274806978
canonical_protocol_only_v3,acc16_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,0.9863787375415283,0.9913621262458472,0.987918072106148
canonical_protocol_only_v3,acc16_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8347167806627266,0.8893684839630785,0.8855964643970294
canonical_protocol_only_v3,acc16_hr,overlapping,loso,deep,improved_gnn_lstm_res,0.8144299090245036,0.880470150740421,0.8434571359163113
canonical_protocol_only_v3,acc16_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9908698539176627,0.9950199203187251,0.9945781902019434
canonical_protocol_only_v3,acc16_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,0.9897078353253652,0.9943559096945551,0.9941334097513339
