result_set,feature_set,window_type,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,household,3226,0.8384996900185989
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,jump,382,0.743455497382199
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,locomotion,5378,0.9393826701375976
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,posture,4425,0.9186440677966101
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,stairs,1719,0.774869109947644
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,household,3226,0.9485430874147551
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,jump,382,0.8455497382198953
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,locomotion,5378,0.9310152473038305
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,posture,4425,0.9267796610169492
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,stairs,1719,0.8278068644560791
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,household,660,0.8954545454545455
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,jump,72,0.9027777777777778
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,locomotion,1087,0.9549218031278749
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,posture,861,0.9651567944250871
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,stairs,346,0.8641618497109826
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,household,660,0.9575757575757575
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,jump,72,0.9166666666666666
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,locomotion,1087,0.9576816927322908
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,posture,861,0.959349593495935
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,stairs,346,0.8728323699421965
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,household,6446,0.8406763884579584
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,jump,762,0.7454068241469817
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,locomotion,10734,0.9434507173467487
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,posture,8835,0.9207696661007357
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,stairs,3422,0.7936879018118059
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,household,6446,0.9509773502947564
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,jump,762,0.8490813648293963
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,locomotion,10734,0.9336687162288057
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,posture,8835,0.9245048104131296
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,stairs,3422,0.8351841028638223
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,household,1268,0.9211356466876972
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,jump,161,0.8819875776397516
