dataset,feature_set,protocol,family,model,fold,test_subject,calibration_percentage,fine_tuning_strategy,uncalibrated_accuracy,calibrated_accuracy,accuracy_improvement,uncalibrated_macro_f1,calibrated_macro_f1,macro_f1_improvement,n_calibration_samples,n_eval_samples,checkpoint_path,status
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,0.0,none,0.08910636106103528,0.08910636106103528,0.0,0.013636005359817136,0.013636005359817136,0.0,0,3883,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,0.01,refit_train_plus_subject_shots,0.08949011446409989,0.08949011446409989,0.0,0.013689907672715695,0.013689907672715695,0.0,39,3844,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,0.05,refit_train_plus_subject_shots,0.08891298454865817,0.08891298454865817,0.0,0.013608829142809725,0.013608829142809725,0.0,194,3689,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,0.1,refit_train_plus_subject_shots,0.08927038626609442,0.08927038626609442,0.0,0.013659049120042026,0.013659049120042026,0.0,388,3495,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,0.0,none,0.10989010989010989,0.10989010989010989,0.0,0.016501650165016504,0.016501650165016504,0.0,0,4095,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,0.01,refit_train_plus_subject_shots,0.10878145041933893,0.10878145041933893,0.0,0.01635150166852058,0.01635150166852058,0.0,41,4054,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,0.05,refit_train_plus_subject_shots,0.1077120822622108,0.1077120822622108,0.0,0.016206389726928134,0.016206389726928134,0.0,205,3890,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,0.1,refit_train_plus_subject_shots,0.10881953867028493,0.10881953867028493,0.0,0.01635666503507913,0.01635666503507913,0.0,410,3685,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,0.0,none,0.16100443131462333,0.16100443131462333,0.0,0.03466921119592875,0.03466921119592875,0.0,0,2708,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,0.01,refit_train_plus_subject_shots,0.1618798955613577,0.1618798955613577,0.0,0.0348314606741573,0.0348314606741573,0.0,27,2681,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,0.05,refit_train_plus_subject_shots,0.16323357947920716,0.16323357947920716,0.0,0.03508185766789175,0.03508185766789175,0.0,135,2573,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,0.1,refit_train_plus_subject_shots,0.16249487074271646,0.16249487074271646,0.0,0.03494528768090364,0.03494528768090364,0.0,271,2437,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,0.0,none,0.108085579327591,0.108085579327591,0.0,0.01950852557673019,0.01950852557673019,0.0,0,3599,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,0.01,refit_train_plus_subject_shots,0.10777434746000561,0.10777434746000561,0.0,0.01945781606283253,0.01945781606283253,0.0,36,3563,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,0.05,refit_train_plus_subject_shots,0.10938871014916643,0.10938871014916643,0.0,0.019720537832849987,0.019720537832849987,0.0,180,3419,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,0.1,refit_train_plus_subject_shots,0.11083667798703303,0.11083667798703303,0.0,0.019955530850472487,0.019955530850472487,0.0,360,3239,,ok
