result_set,feature_set,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_gyro,loso,baseline,adaboost_tree,household,6446,0.9062984796773192
canonical_protocol_only,acc16_gyro,loso,baseline,adaboost_tree,jump,762,0.6272965879265092
canonical_protocol_only,acc16_gyro,loso,baseline,adaboost_tree,locomotion,10734,0.893609092602944
canonical_protocol_only,acc16_gyro,loso,baseline,adaboost_tree,posture,8835,0.833955857385399
canonical_protocol_only,acc16_gyro,loso,baseline,adaboost_tree,stairs,3422,0.7305669199298656
canonical_protocol_only,acc16_gyro,loso,baseline,bagged_tree_entropy,household,6446,0.9303443996276761
canonical_protocol_only,acc16_gyro,loso,baseline,bagged_tree_entropy,jump,762,0.7690288713910761
canonical_protocol_only,acc16_gyro,loso,baseline,bagged_tree_entropy,locomotion,10734,0.8032420346562326
canonical_protocol_only,acc16_gyro,loso,baseline,bagged_tree_entropy,posture,8835,0.878324844368987
canonical_protocol_only,acc16_gyro,loso,baseline,bagged_tree_entropy,stairs,3422,0.8106370543541789
canonical_protocol_only,acc16_gyro,loso,baseline,decision_tree_entropy,household,6446,0.8416071982624883
canonical_protocol_only,acc16_gyro,loso,baseline,decision_tree_entropy,jump,762,0.7073490813648294
canonical_protocol_only,acc16_gyro,loso,baseline,decision_tree_entropy,locomotion,10734,0.8103223402273151
canonical_protocol_only,acc16_gyro,loso,baseline,decision_tree_entropy,posture,8835,0.8255800792303339
canonical_protocol_only,acc16_gyro,loso,baseline,decision_tree_entropy,stairs,3422,0.7349503214494447
canonical_protocol_only,acc16_gyro,loso,baseline,dummy_most_frequent,household,6446,0.468352466645982
canonical_protocol_only,acc16_gyro,loso,baseline,dummy_most_frequent,jump,762,0.0
canonical_protocol_only,acc16_gyro,loso,baseline,dummy_most_frequent,locomotion,10734,0.5699645984721445
canonical_protocol_only,acc16_gyro,loso,baseline,dummy_most_frequent,posture,8835,0.0
canonical_protocol_only,acc16_gyro,loso,baseline,dummy_most_frequent,stairs,3422,0.0
canonical_protocol_only,acc16_gyro,loso,baseline,gaussian_nb,household,6446,0.8448650325783431
canonical_protocol_only,acc16_gyro,loso,baseline,gaussian_nb,jump,762,0.8018372703412073
canonical_protocol_only,acc16_gyro,loso,baseline,gaussian_nb,locomotion,10734,0.8462828395751817
canonical_protocol_only,acc16_gyro,loso,baseline,gaussian_nb,posture,8835,0.8708545557441992
canonical_protocol_only,acc16_gyro,loso,baseline,gaussian_nb,stairs,3422,0.7898889538281707
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,household,6446,0.8406763884579584
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,jump,762,0.7454068241469817
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,locomotion,10734,0.9434507173467487
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,posture,8835,0.9207696661007357
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,stairs,3422,0.7936879018118059
canonical_protocol_only,acc16_gyro,loso,baseline,linear_svm,household,6446,0.8915606577722619
canonical_protocol_only,acc16_gyro,loso,baseline,linear_svm,jump,762,0.8241469816272966
canonical_protocol_only,acc16_gyro,loso,baseline,linear_svm,locomotion,10734,0.9260294391652693
canonical_protocol_only,acc16_gyro,loso,baseline,linear_svm,posture,8835,0.8619128466327108
canonical_protocol_only,acc16_gyro,loso,baseline,linear_svm,stairs,3422,0.81531268264173
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,household,6446,0.9509773502947564
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,jump,762,0.8490813648293963
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,locomotion,10734,0.9336687162288057
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,posture,8835,0.9245048104131296
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,stairs,3422,0.8351841028638223
canonical_protocol_only,acc16_gyro,loso,baseline,rbf_svm,household,6446,0.9097114489605957
canonical_protocol_only,acc16_gyro,loso,baseline,rbf_svm,jump,762,0.847769028871391
canonical_protocol_only,acc16_gyro,loso,baseline,rbf_svm,locomotion,10734,0.8958449785727595
canonical_protocol_only,acc16_gyro,loso,baseline,rbf_svm,posture,8835,0.9085455574419921
canonical_protocol_only,acc16_gyro,loso,baseline,rbf_svm,stairs,3422,0.8088836937463472
canonical_protocol_only,acc16_gyro,random_holdout,baseline,adaboost_tree,household,1268,0.9487381703470031
canonical_protocol_only,acc16_gyro,random_holdout,baseline,adaboost_tree,jump,161,0.7080745341614907
canonical_protocol_only,acc16_gyro,random_holdout,baseline,adaboost_tree,locomotion,2145,0.9286713286713286
canonical_protocol_only,acc16_gyro,random_holdout,baseline,adaboost_tree,posture,1790,0.9335195530726257
canonical_protocol_only,acc16_gyro,random_holdout,baseline,adaboost_tree,stairs,676,0.7485207100591716
canonical_protocol_only,acc16_gyro,random_holdout,baseline,bagged_tree_entropy,household,1268,0.9700315457413249
canonical_protocol_only,acc16_gyro,random_holdout,baseline,bagged_tree_entropy,jump,161,0.8695652173913043
canonical_protocol_only,acc16_gyro,random_holdout,baseline,bagged_tree_entropy,locomotion,2145,0.9599067599067599
canonical_protocol_only,acc16_gyro,random_holdout,baseline,bagged_tree_entropy,posture,1790,0.9675977653631285
canonical_protocol_only,acc16_gyro,random_holdout,baseline,bagged_tree_entropy,stairs,676,0.9038461538461539
canonical_protocol_only,acc16_gyro,random_holdout,baseline,decision_tree_entropy,household,1268,0.919558359621451
canonical_protocol_only,acc16_gyro,random_holdout,baseline,decision_tree_entropy,jump,161,0.8757763975155279
canonical_protocol_only,acc16_gyro,random_holdout,baseline,decision_tree_entropy,locomotion,2145,0.9552447552447553
canonical_protocol_only,acc16_gyro,random_holdout,baseline,decision_tree_entropy,posture,1790,0.9441340782122905
canonical_protocol_only,acc16_gyro,random_holdout,baseline,decision_tree_entropy,stairs,676,0.863905325443787
canonical_protocol_only,acc16_gyro,random_holdout,baseline,dummy_most_frequent,household,1268,1.0
canonical_protocol_only,acc16_gyro,random_holdout,baseline,dummy_most_frequent,jump,161,0.0
canonical_protocol_only,acc16_gyro,random_holdout,baseline,dummy_most_frequent,locomotion,2145,0.0
canonical_protocol_only,acc16_gyro,random_holdout,baseline,dummy_most_frequent,posture,1790,0.0
canonical_protocol_only,acc16_gyro,random_holdout,baseline,dummy_most_frequent,stairs,676,0.0
canonical_protocol_only,acc16_gyro,random_holdout,baseline,gaussian_nb,household,1268,0.860410094637224
canonical_protocol_only,acc16_gyro,random_holdout,baseline,gaussian_nb,jump,161,0.8136645962732919
canonical_protocol_only,acc16_gyro,random_holdout,baseline,gaussian_nb,locomotion,2145,0.9375291375291376
canonical_protocol_only,acc16_gyro,random_holdout,baseline,gaussian_nb,posture,1790,0.9016759776536313
canonical_protocol_only,acc16_gyro,random_holdout,baseline,gaussian_nb,stairs,676,0.8150887573964497
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,household,1268,0.9211356466876972
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,jump,161,0.8819875776397516
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,locomotion,2145,0.9547785547785548
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,posture,1790,0.9664804469273743
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,stairs,676,0.8535502958579881
canonical_protocol_only,acc16_gyro,random_holdout,baseline,linear_svm,household,1268,0.945583596214511
canonical_protocol_only,acc16_gyro,random_holdout,baseline,linear_svm,jump,161,0.906832298136646
canonical_protocol_only,acc16_gyro,random_holdout,baseline,linear_svm,locomotion,2145,0.9552447552447553
canonical_protocol_only,acc16_gyro,random_holdout,baseline,linear_svm,posture,1790,0.9581005586592178
canonical_protocol_only,acc16_gyro,random_holdout,baseline,linear_svm,stairs,676,0.863905325443787
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,household,1268,0.9716088328075709
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,jump,161,0.8695652173913043
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,locomotion,2145,0.965967365967366
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,posture,1790,0.9653631284916201
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,stairs,676,0.9112426035502958
canonical_protocol_only,acc16_gyro,random_holdout,baseline,rbf_svm,household,1268,0.9550473186119873
canonical_protocol_only,acc16_gyro,random_holdout,baseline,rbf_svm,jump,161,0.906832298136646
canonical_protocol_only,acc16_gyro,random_holdout,baseline,rbf_svm,locomotion,2145,0.951981351981352
canonical_protocol_only,acc16_gyro,random_holdout,baseline,rbf_svm,posture,1790,0.9675977653631285
canonical_protocol_only,acc16_gyro,random_holdout,baseline,rbf_svm,stairs,676,0.8816568047337278
canonical_protocol_only,acc16_gyro_hr,loso,baseline,adaboost_tree,household,6446,0.8112007446478436
canonical_protocol_only,acc16_gyro_hr,loso,baseline,adaboost_tree,jump,762,0.24540682414698162
canonical_protocol_only,acc16_gyro_hr,loso,baseline,adaboost_tree,locomotion,10734,0.8090180734115894
canonical_protocol_only,acc16_gyro_hr,loso,baseline,adaboost_tree,posture,8835,0.7719298245614035
canonical_protocol_only,acc16_gyro_hr,loso,baseline,adaboost_tree,stairs,3422,0.7206312098188195
canonical_protocol_only,acc16_gyro_hr,loso,baseline,bagged_tree_entropy,household,6446,0.8865963388147688
canonical_protocol_only,acc16_gyro_hr,loso,baseline,bagged_tree_entropy,jump,762,0.7952755905511811
canonical_protocol_only,acc16_gyro_hr,loso,baseline,bagged_tree_entropy,locomotion,10734,0.8169368362213527
canonical_protocol_only,acc16_gyro_hr,loso,baseline,bagged_tree_entropy,posture,8835,0.9015280135823429
canonical_protocol_only,acc16_gyro_hr,loso,baseline,bagged_tree_entropy,stairs,3422,0.8486265341905318
canonical_protocol_only,acc16_gyro_hr,loso,baseline,decision_tree_entropy,household,6446,0.8053056158858206
canonical_protocol_only,acc16_gyro_hr,loso,baseline,decision_tree_entropy,jump,762,0.7296587926509186
canonical_protocol_only,acc16_gyro_hr,loso,baseline,decision_tree_entropy,locomotion,10734,0.8331470095025154
canonical_protocol_only,acc16_gyro_hr,loso,baseline,decision_tree_entropy,posture,8835,0.765704584040747
canonical_protocol_only,acc16_gyro_hr,loso,baseline,decision_tree_entropy,stairs,3422,0.7694330800701344
canonical_protocol_only,acc16_gyro_hr,loso,baseline,dummy_most_frequent,household,6446,0.468352466645982
canonical_protocol_only,acc16_gyro_hr,loso,baseline,dummy_most_frequent,jump,762,0.0
canonical_protocol_only,acc16_gyro_hr,loso,baseline,dummy_most_frequent,locomotion,10734,0.5699645984721445
canonical_protocol_only,acc16_gyro_hr,loso,baseline,dummy_most_frequent,posture,8835,0.0
canonical_protocol_only,acc16_gyro_hr,loso,baseline,dummy_most_frequent,stairs,3422,0.0
canonical_protocol_only,acc16_gyro_hr,loso,baseline,gaussian_nb,household,6446,0.8468817871548247
canonical_protocol_only,acc16_gyro_hr,loso,baseline,gaussian_nb,jump,762,0.800524934383202
canonical_protocol_only,acc16_gyro_hr,loso,baseline,gaussian_nb,locomotion,10734,0.8505682876839947
canonical_protocol_only,acc16_gyro_hr,loso,baseline,gaussian_nb,posture,8835,0.8708545557441992
canonical_protocol_only,acc16_gyro_hr,loso,baseline,gaussian_nb,stairs,3422,0.8094681472822911
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,household,6446,0.853552590753956
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,jump,762,0.7624671916010499
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,locomotion,10734,0.9520216135643749
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,posture,8835,0.9309564233163554
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,stairs,3422,0.8275862068965517
canonical_protocol_only,acc16_gyro_hr,loso,baseline,linear_svm,household,6446,0.8971455165994415
canonical_protocol_only,acc16_gyro_hr,loso,baseline,linear_svm,jump,762,0.8333333333333334
canonical_protocol_only,acc16_gyro_hr,loso,baseline,linear_svm,locomotion,10734,0.9378610024222098
canonical_protocol_only,acc16_gyro_hr,loso,baseline,linear_svm,posture,8835,0.876966610073571
canonical_protocol_only,acc16_gyro_hr,loso,baseline,linear_svm,stairs,3422,0.8439509059029807
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,household,6446,0.9260006205398696
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,jump,762,0.884514435695538
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,locomotion,10734,0.9455934414011552
