result_set,feature_set,protocol,family,model,accuracy,balanced_accuracy,macro_f1,holdout_minus_loso_accuracy
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,0.8823470975860128,0.8742059468880656,0.8862879673561005,0.061030385857695824
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,0.8182390145369052,0.8098069058135907,0.8233229753496407,0.0938470781783266
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,0.9433774834437086,0.9338562192737926,0.9422228719235728,0.061030385857695824
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,0.9120860927152318,0.902431917557401,0.9118891649221712,0.0938470781783266
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,0.8801284810755323,0.8784926496794939,0.8815293401735472,0.08146092289797768
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,0.8280737772773933,0.8206562743153941,0.8339330814898723,0.0909659578219445
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,0.96158940397351,0.9597505632609166,0.9615914145782466,0.08146092289797768
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,0.9190397350993378,0.9145647278237056,0.9215820697553412,0.0909659578219445
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,0.8529090367230703,0.8491303699462157,0.8506025434252518,0.11447506923719453
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,0.8230404980297361,0.8101267540415811,0.8221990226076247,0.10278731653980033
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,0.9673841059602648,0.9651628002036609,0.9671296274393222,0.11447506923719453
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,0.9258278145695364,0.9187888854783252,0.9250461851819862,0.10278731653980033
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8779135400757022,0.8765656958616953,0.8809793616502438,0.11146228993757801
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,0.868882395909423,0.8622771488995373,0.856994610657502,0.11667537301487985
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9893758300132802,0.9889403610941208,0.9889922292508908,0.11146228993757801
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,0.9855577689243028,0.984760001591915,0.9853095106422218,0.11667537301487985
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8754565376186998,0.8716457644257302,0.8647247184297258,0.11308927911436784
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,0.8757885649777541,0.8787535315312064,0.8756701946545915,0.11342126237948347
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9885458167330676,0.9894720323117784,0.9887893342676142,0.11308927911436784
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,0.9892098273572376,0.9893516364413524,0.9890135627998088,0.11342126237948347
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8347167806627266,0.8411516215825762,0.8371126567257634,0.15615307325493621
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_res,0.8144299090245036,0.8042628279346987,0.8043540051591518,0.1752779263008616
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9908698539176628,0.990972548907375,0.9906265099692052,0.15615307325493621
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_res,0.9897078353253652,0.9894988472428656,0.9896403121037228,0.1752779263008616
