result_set,feature_set,family,model,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std
canonical_protocol_only,acc16_gyro,baseline,knn_k5,9,0.7894896808016028,0.09470520245342634,0.6757129652052312,0.2443113175003306,0.8270411288291901,0.07174740345996351
canonical_protocol_only,acc16_gyro,baseline,random_forest,9,0.8789305029457198,0.025989256572360838,0.7681823750707454,0.23373277303191023,0.8786304961228287,0.055585781852512416
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,9,0.7964853026557553,0.10320977661097278,0.6857895114722181,0.2416204682052649,0.8363069417367156,0.06662038056222187
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,9,0.8798976852058268,0.04264008854564145,0.7445422586717971,0.21306954414659401,0.8821788748792447,0.06047643156032792
canonical_protocol_only,acc16_hr,baseline,knn_k5,9,0.8054282801537032,0.05878216414387493,0.6788538664535241,0.23064060893250277,0.8258314888889304,0.06759217265167258
canonical_protocol_only,acc16_hr,baseline,random_forest,9,0.8508481406965014,0.05912989478747315,0.7194442190145944,0.21863967283011101,0.8575853513236897,0.07811406857874471
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8922270049335508,0.08257399713678855,0.7184690361809059,0.2535112002604163,0.8826230047700139,0.07422360989942191
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,9,0.8471272529563331,0.13167313866716152,0.7041768751958164,0.2782683050791581,0.8355554046420813,0.12823137823392805
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8921557601765875,0.07757674625533642,0.7087539891491289,0.2533965492671548,0.8812603787507608,0.07731407884136522
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,9,0.8926854373908095,0.07290693738920398,0.7158119659884216,0.25198983469417496,0.8846891141327954,0.07429562486492455
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8571450071260782,0.10886564375911853,0.682535518047602,0.24443288162061363,0.8556963002639879,0.09060164844548013
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,9,0.8319904139298104,0.16019170276853067,0.6588873545416865,0.26964031290051554,0.8244186996589639,0.15091711824143303
