result_set,feature_set,protocol,family,model,ece,mean_confidence,accuracy,macro_f1,status
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,,,,,probabilities_not_available
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,,,,,probabilities_not_available
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,,,,,probabilities_not_available
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,,,,,probabilities_not_available
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,,,,,probabilities_not_available
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,,,,,probabilities_not_available
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,,,,,probabilities_not_available
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,,,,,probabilities_not_available
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,,,,,probabilities_not_available
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,,,,,probabilities_not_available
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,,,,,probabilities_not_available
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,,,,,probabilities_not_available
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.08510106984394722,0.9626812166212895,0.8779135400757022,0.8809793616502438,ok
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,0.09549452422039972,0.9643769201298227,0.868882395909423,0.856994610657502,ok
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.007993976661686485,0.9973698066749667,0.9893758300132802,0.9889922292508908,ok
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,0.009300904379150134,0.9948586733034528,0.9855577689243028,0.9853095106422218,ok
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.09221279694302414,0.9671076250683975,0.8754565376186998,0.8647247184297258,ok
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,0.08574029474931939,0.9611004309622153,0.8757885649777541,0.8756701946545915,ok
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.006886145320385131,0.9954099822758965,0.9885458167330677,0.9887893342676142,ok
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,0.007258340187583071,0.9964676301975433,0.9892098273572377,0.9890135627998088,ok
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.11991766176273325,0.9542507253579255,0.8347167806627266,0.8371126567257634,ok
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_res,0.14777565378179147,0.9618692528560994,0.8144299090245036,0.8043540051591518,ok
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.0053687861985391595,0.9958797824900398,0.9908698539176627,0.9906265099692052,ok
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_res,0.006909832116533636,0.9963215851444224,0.9897078353253652,0.9896403121037228,ok
