result_set,feature_set,protocol,family,model,fine_accuracy,group_accuracy,group_macro_f1
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,0.8182390145369052,0.8929103612702407,0.8699047968728388
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,0.8823470975860128,0.921388125434617,0.9116048243781641
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,0.9120860927152318,0.9379139072847682,0.927924943737995
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,0.9433774834437086,0.9582781456953643,0.9480712408812773
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,0.8280737772773933,0.9059571508990364,0.8866573801218692
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,0.8801284810755323,0.9281433160038411,0.917759612528954
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,0.9190397350993378,0.9468543046357616,0.9419461923079485
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,0.9615894039735099,0.975,0.9718440470727918
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,0.8230404980297361,0.8929434749495017,0.8689422174113423
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,0.8529090367230703,0.9120500678830424,0.8988785501141046
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,0.9258278145695364,0.9478476821192053,0.9407784290839045
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,0.9673841059602649,0.9806291390728477,0.9777522846206124
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8779135400757022,0.9157646590079023,0.9148957813368568
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,0.868882395909423,0.9124443854173584,0.8788809377255886
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9893758300132802,0.9931938911022576,0.9926673277595182
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,0.9855577689243028,0.9912018592297477,0.990455426967433
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8754565376186998,0.9098545720167341,0.8839858676502305
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,0.8757885649777541,0.9283484959160635,0.9135228744105429
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9885458167330677,0.9956839309428951,0.9954832449282126
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,0.9892098273572377,0.9941899070385126,0.9933137985279208
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8347167806627266,0.8893684839630785,0.8855964643970294
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_res,0.8144299090245036,0.880470150740421,0.8434571359163113
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9908698539176627,0.9950199203187251,0.9945781902019434
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_res,0.9897078353253652,0.9943559096945551,0.9941334097513339
