result_set,feature_set,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,household,6446,0.8406763884579584
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,jump,762,0.7454068241469817
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,locomotion,10734,0.9434507173467487
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,posture,8835,0.9207696661007357
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,stairs,3422,0.7936879018118059
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,household,6446,0.9509773502947564
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,jump,762,0.8490813648293963
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,locomotion,10734,0.9336687162288057
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,posture,8835,0.9245048104131296
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,stairs,3422,0.8351841028638223
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,household,1268,0.9211356466876972
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,jump,161,0.8819875776397516
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,locomotion,2145,0.9547785547785548
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,posture,1790,0.9664804469273743
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,stairs,676,0.8535502958579881
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,household,1268,0.9716088328075709
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,jump,161,0.8695652173913043
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,locomotion,2145,0.965967365967366
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,posture,1790,0.9653631284916201
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,stairs,676,0.9112426035502958
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,household,6446,0.853552590753956
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,jump,762,0.7624671916010499
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,locomotion,10734,0.9520216135643749
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,posture,8835,0.9309564233163554
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,stairs,3422,0.8275862068965517
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,household,6446,0.9260006205398696
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,jump,762,0.884514435695538
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,locomotion,10734,0.9455934414011552
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,posture,8835,0.9265421618562535
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,stairs,3422,0.891291642314436
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,household,1268,0.9219242902208202
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,jump,161,0.9192546583850931
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,locomotion,2145,0.9636363636363636
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,posture,1790,0.9698324022346368
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,stairs,676,0.886094674556213
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,household,1268,0.9802839116719243
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,jump,161,0.968944099378882
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,locomotion,2145,0.9808857808857809
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,posture,1790,0.9731843575418995
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,stairs,676,0.9526627218934911
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,household,6446,0.8712379770400248
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,jump,762,0.7519685039370079
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,locomotion,10734,0.941773802869387
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,posture,8835,0.9106960950764007
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,stairs,3422,0.766218585622443
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,household,6446,0.9173130623642569
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,jump,762,0.8779527559055118
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,locomotion,10734,0.922023476802683
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,posture,8835,0.9200905489530278
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,stairs,3422,0.8576855639976622
