,precision,recall,f1-score,support
lying,0.9854967367657723,0.9047936085219707,0.9434224227698715,1502.0
sitting,0.7296511627906976,0.6957726957726957,0.7123093295494857,1443.0
standing,0.61059670781893,0.802027027027027,0.6933411214953271,1480.0
walking,0.789239662072032,0.9537882858678131,0.8637469586374696,1861.0
running,0.9494535519125683,0.9084967320261438,0.9285237140948563,765.0
cycling,0.9072642967542504,0.9136186770428015,0.9104303993796045,1285.0
nordic_walking,0.9616071428571429,0.7341513292433538,0.8326246617703904,1467.0
ascending_stairs,0.8223684210526315,0.8259911894273128,0.8241758241758241,908.0
descending_stairs,0.9021558872305141,0.6707768187422934,0.7694483734087695,811.0
vacuum_cleaning,0.8524590163934426,0.6476190476190476,0.736053288925895,1365.0
ironing,0.7116704805491991,0.8355722729715207,0.768660405338606,1861.0
rope_jumping,0.9498327759197325,0.743455497382199,0.8340675477239354,382.0
accuracy,0.8121612690019828,0.8121612690019828,0.8121612690019828,0.8121612690019828
macro avg,0.8476496535097428,0.8030052651370148,0.8180670039391695,15130.0
weighted avg,0.8286599818421132,0.8121612690019828,0.8133722875621867,15130.0
