,precision,recall,f1-score,support
lying,0.9964488636363636,0.9340878828229028,0.9642611683848797,1502.0
sitting,0.8355263157894737,0.7920997920997921,0.8132337246531484,1443.0
standing,0.7287735849056604,0.8351351351351352,0.7783375314861462,1480.0
walking,0.960989010989011,0.9398173025255239,0.9502852485737572,1861.0
running,0.9957507082152974,0.918954248366013,0.95581237253569,765.0
cycling,0.9630872483221476,0.8933852140077821,0.9269277351635042,1285.0
nordic_walking,0.9825834542815675,0.9229720518064076,0.9518453427065027,1467.0
ascending_stairs,0.8793103448275862,0.8425110132158591,0.8605174353205849,908.0
descending_stairs,0.9269406392694064,0.750924784217016,0.829700272479564,811.0
vacuum_cleaning,0.7982216142270862,0.8549450549450549,0.8256101874778917,1365.0
ironing,0.7631344612644702,0.9210102095647501,0.834672510348186,1861.0
rope_jumping,0.9877675840978594,0.8455497382198953,0.9111424541607899,382.0
accuracy,0.8799735624586913,0.8799735624586913,0.8799735624586913,0.8799735624586913
macro avg,0.9015444858188276,0.8709493689105111,0.883528831940887,15130.0
weighted avg,0.888786388618384,0.8799735624586913,0.8819213003050842,15130.0
