feature,importance
chest_acc16_y_max,0.02685144223580424
ankle_gyro_z_rms,0.017712052618535992
ankle_gyro_z_mad,0.017522878279551023
chest_acc16_y_std,0.017182650883363286
chest_acc16_y_min,0.016235157706061216
hand_acc16_y_rms,0.015852743306018987
ankle_gyro_z_fft_energy,0.015774409794967404
ankle_acc16_x_std,0.01544878890541787
ankle_gyro_z_std,0.015249212363263282
ankle_acc16_x_energy,0.014919410101655683
ankle_acc16_x_max,0.01483615136108788
ankle_acc16_y_std,0.014744184879954108
hand_acc16_y_energy,0.01463462608924309
ankle_acc16_x_iqr,0.013872996934866866
ankle_gyro_z_energy,0.01383346153669707
chest_acc16_y_energy,0.013522794597682445
ankle_acc16_x_min,0.013253718268036853
ankle_acc16_x_fft_energy,0.01310066199006619
chest_acc16_y_mad,0.01238982485183107
ankle_acc16_x_mad,0.012346926248096858
hand_acc16_y_fft_energy,0.011985555289032982
chest_acc16_y_rms,0.011761973708956595
ankle_acc16_x_rms,0.011278091464962172
ankle_acc16_y_mad,0.011171587162958217
chest_acc16_z_mean,0.010932415483183563
hand_acc16_x_max,0.01075189287460132
ankle_acc16_x_mean,0.010672482692249553
hand_acc16_x_mean,0.010129924580059499
chest_acc16_z_median,0.010056810753572584
chest_acc16_y_fft_energy,0.010012737153026372
hand_acc16_x_min,0.009976734094221689
hand_acc16_y_std,0.009958791108162791
chest_acc16_y_iqr,0.009829387379449602
chest_acc16_y_median,0.009753571576209596
hand_acc16_y_mad,0.009691462635523446
ankle_gyro_z_min,0.009363210042781107
ankle_acc16_z_std,0.009209125412960225
ankle_gyro_z_max,0.008858225131204857
chest_acc16_y_mean,0.008816568487669053
hand_acc16_x_median,0.008675277571818895
chest_gyro_x_max,0.008549514416895899
hand_acc16_x_fft_energy,0.008189820981358443
chest_acc16_z_fft_energy,0.008090793558283096
ankle_acc16_x_median,0.007592514728368096
chest_gyro_x_std,0.007548565265880304
hand_acc16_y_iqr,0.00717876630667415
hand_acc16_x_energy,0.006972169724991142
ankle_gyro_x_std,0.006922246011452608
chest_acc16_z_min,0.006897040205588
hand_acc16_x_rms,0.006882120612400821
chest_gyro_x_rms,0.00685505195875757
hand_acc16_z_mean,0.006842388007332991
chest_gyro_y_rms,0.0065635732301843825
chest_gyro_y_energy,0.006421461453056814
ankle_gyro_x_mad,0.006366548222384201
chest_gyro_y_fft_energy,0.006207071428278132
hand_acc16_z_median,0.006186922723224459
hand_acc16_z_fft_energy,0.006144268955657891
ankle_acc16_y_rms,0.005990588245491189
chest_acc16_z_max,0.005913928132577873
ankle_gyro_x_rms,0.005913925123987863
chest_acc16_z_energy,0.0058916642388938045
chest_acc16_z_rms,0.005458613343390751
chest_gyro_x_fft_energy,0.005418193498051557
hand_acc16_z_rms,0.005370540494559117
hand_acc16_y_max,0.005284879332084047
chest_gyro_x_energy,0.005248976311042549
hand_acc16_x_std,0.005149511733353263
hand_acc16_z_energy,0.005130076604515236
chest_gyro_y_mad,0.005085374214394624
chest_gyro_y_iqr,0.005080356048174925
ankle_gyro_x_energy,0.005077602634677138
hand_acc16_x_mad,0.004990608041117688
hand_acc16_x_iqr,0.00481550557603328
hand_gyro_z_iqr,0.00465366604815066
ankle_acc16_y_max,0.004552534389420864
chest_gyro_y_std,0.00454659299274236
hand_acc16_y_kurtosis,0.004290563396561648
hand_acc16_z_max,0.0042895924204520205
ankle_acc16_y_iqr,0.004274246284262091
ankle_acc16_y_min,0.004212170086801975
ankle_acc16_z_mad,0.00418972682368948
ankle_acc16_y_energy,0.004033255418329199
ankle_acc16_y_fft_energy,0.003736776044321664
hand_gyro_z_std,0.00368234294049505
chest_gyro_x_iqr,0.0033585695362583325
hand_acc16_z_min,0.0033412376915653817
hand_acc16_y_entropy,0.003328063048280921
hand_acc16_y_mean,0.003264575382517892
chest_gyro_x_mad,0.0032586744922320212
hand_gyro_z_energy,0.0032120246239618535
chest_acc16_x_std,0.003207555972307923
chest_acc16_z_std,0.0031346463101183043
hand_gyro_z_rms,0.0030440369523942186
ankle_acc16_z_min,0.0030160328542825614
hand_gyro_z_mad,0.003008949874824142
chest_acc16_x_rms,0.0029440702314462446
chest_acc16_x_mad,0.002939047091831712
hand_acc16_z_iqr,0.0029260717804365267
ankle_gyro_x_fft_energy,0.0028892586463799153
chest_gyro_z_rms,0.0028694014904514747
ankle_gyro_y_energy,0.002847540416469886
ankle_gyro_z_iqr,0.0028271355808957756
ankle_acc16_y_median,0.00282263530151922
ankle_gyro_x_max,0.002794524095897559
ankle_gyro_y_min,0.002790736683232825
chest_acc16_x_fft_energy,0.002782738328410327
hand_acc16_z_entropy,0.0026768834658965966
hand_gyro_y_std,0.0026513160037404987
hand_acc16_y_median,0.0026254019199258814
hand_acc16_z_std,0.002617363843229449
hand_gyro_y_rms,0.002533422032833377
ankle_gyro_x_mean,0.0024785764608412065
chest_gyro_y_max,0.002475630820387254
chest_acc16_x_energy,0.002460622953230492
hand_gyro_y_fft_energy,0.002366134488909764
ankle_gyro_x_min,0.0023526926417497007
chest_acc16_x_iqr,0.0023121735775452263
hand_acc16_z_kurtosis,0.0023084918749983405
chest_acc16_x_mean,0.0022879531621355525
ankle_acc16_y_mean,0.0022818944493137355
ankle_gyro_x_iqr,0.0022466307824491613
hand_acc16_z_mad,0.00224331724838999
chest_gyro_z_std,0.002199638657141031
ankle_acc16_z_rms,0.0021730001039795004
ankle_gyro_y_std,0.0021640852487021015
hand_gyro_z_fft_energy,0.0021392538371424862
chest_gyro_y_median,0.0021182768576037407
hand_gyro_y_mad,0.0021079544347988866
chest_gyro_z_fft_energy,0.002060202258839785
ankle_acc16_z_max,0.002028796929917683
chest_acc16_x_median,0.0019972515739661817
ankle_acc16_z_fft_energy,0.0019021546778888135
ankle_acc16_z_iqr,0.0018926969801888857
chest_gyro_z_mad,0.001886276490470082
chest_gyro_y_mean,0.001874174734793508
hand_acc16_y_min,0.0018573834719796437
chest_gyro_y_min,0.0018526865054492062
ankle_acc16_z_energy,0.001748224553064754
chest_gyro_z_energy,0.001721782595461118
ankle_gyro_y_mean,0.0016877683066577602
chest_acc16_x_min,0.0016877422128651228
hand_gyro_y_energy,0.0016489280659865277
chest_gyro_z_iqr,0.001609589657445157
ankle_acc16_x_entropy,0.0016060771277500766
chest_acc16_x_max,0.0016008436509792091
ankle_acc16_z_mean,0.0015784739121032971
hand_gyro_y_max,0.0015648089428409548
hand_gyro_x_mad,0.0015429649786741623
ankle_acc16_y_skew,0.0015415337665560184
hand_gyro_y_iqr,0.0014419427894922707
chest_acc16_z_iqr,0.001405549889677244
hand_gyro_x_iqr,0.0013934953912212867
ankle_acc16_z_median,0.0013837568921651578
hand_gyro_z_max,0.0013506327658143092
ankle_acc16_y_entropy,0.001340331875227046
chest_acc16_z_mad,0.0013306393058978951
chest_gyro_z_fft_argmax,0.001305400859646618
ankle_gyro_y_iqr,0.0012920705583737
ankle_acc16_x_kurtosis,0.0012872275809791857
ankle_gyro_y_rms,0.0012665488861996277
ankle_gyro_z_median,0.0012467915320660441
chest_acc16_z_kurtosis,0.0012433640303717002
ankle_gyro_x_median,0.0012307713890650743
ankle_gyro_z_skew,0.0012295308823831624
ankle_gyro_y_fft_energy,0.0012132911374115555
hand_acc16_y_skew,0.0011565852674374954
hand_gyro_x_rms,0.0011516275588251375
hand_gyro_x_energy,0.0011090390575162132
hand_gyro_x_fft_energy,0.0010530516094429865
chest_acc16_z_entropy,0.0010482132084061355
hand_gyro_z_min,0.0010273493200944107
hand_gyro_x_std,0.0009585429872801922
hand_gyro_x_entropy,0.0009493198098145135
chest_gyro_y_kurtosis,0.000893735763785309
ankle_acc16_y_kurtosis,0.0008691444381695563
hand_gyro_x_median,0.0008678573194999234
hand_gyro_x_mean,0.0008595411717774987
ankle_gyro_y_mad,0.0008332873648077025
hand_gyro_x_kurtosis,0.0007959673269105443
ankle_acc16_x_skew,0.0007608472239164441
chest_acc16_z_skew,0.0007478602491370719
chest_gyro_x_min,0.0007303044082002403
ankle_gyro_y_max,0.0007142575236091682
chest_acc16_y_kurtosis,0.0007021761507415339
hand_gyro_y_min,0.0006933384583935085
chest_gyro_z_min,0.000685117046377416
chest_gyro_x_kurtosis,0.0006649675572751007
chest_gyro_x_skew,0.0006640185947663272
hand_acc16_z_skew,0.0006631082604556429
hand_gyro_x_max,0.0006301419779134548
chest_gyro_z_mean,0.0006241911838621376
chest_gyro_z_kurtosis,0.0006150120327420172
chest_gyro_x_fft_argmax,0.000614607051759115
hand_gyro_x_min,0.0006120584372388651
chest_acc16_y_skew,0.0006045399589750514
