dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_train,n_test,fit_predict_sec,label_encoding_note,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,1,101,42,,1946,,reconstructed_from_existing_predictions,0.8530318602261048,0.8461649700359631,0.8566097638650917,0.8569490016730387,0.8855250758035487,0.8461649700359631
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,2,102,42,,2051,,reconstructed_from_existing_predictions,0.8717698683568991,0.862308007976333,0.8717404551323389,0.8706654516975768,0.9033079603196471,0.862308007976333
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,3,103,42,,1357,,reconstructed_from_existing_predictions,0.8909358879882093,0.875039910491251,0.6438253196644339,0.8937433462503259,0.6630507958197049,0.6317578797163227
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,4,104,42,,1804,,reconstructed_from_existing_predictions,0.8575388026607539,0.8536635839790595,0.8557238138726296,0.8605609161156862,0.8744373627914349,0.8536635839790595
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,5,105,42,,2121,,reconstructed_from_existing_predictions,0.8835454974068836,0.8775582278663497,0.887861179309641,0.8860781233436235,0.9040543960096817,0.8775582278663497
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,6,106,42,,1948,,reconstructed_from_existing_predictions,0.8578028747433265,0.7831328512248027,0.7826604344582829,0.8595086786573476,0.784403953582546,0.7831328512248027
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,7,107,42,,1813,,reconstructed_from_existing_predictions,0.9194704908990623,0.8973687809124279,0.9096180675143892,0.9199779863087616,0.929246743667904,0.8973687809124279
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,8,108,42,,2041,,reconstructed_from_existing_predictions,0.9093581577658011,0.8863779318305888,0.8995305068542709,0.9115241740683455,0.9204337776731836,0.8863779318305888
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,random_forest,9,109,42,,49,,reconstructed_from_existing_predictions,0.8571428571428571,1.0,0.3076923076923077,0.9230769230769231,0.3333333333333333,0.2857142857142857
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,1,101,42,,1946,,reconstructed_from_existing_predictions,0.8083247687564235,0.8016226688751716,0.808441611316277,0.8094729339910681,0.8369171954701242,0.8016226688751716
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,2,102,42,,2051,,reconstructed_from_existing_predictions,0.7927840078010726,0.801828145964563,0.8063408825501598,0.7839875214532026,0.8550450468171875,0.801828145964563
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,3,103,42,,1357,,reconstructed_from_existing_predictions,0.7862932940309506,0.783652725087656,0.5734180510072394,0.7941612984790569,0.5972026044990911,0.5630396459950158
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,4,104,42,,1804,,reconstructed_from_existing_predictions,0.8264966740576497,0.8176824875106637,0.6871382203038187,0.825709775718029,0.7236754690058396,0.6788720045612262
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,5,105,42,,2121,,reconstructed_from_existing_predictions,0.8203677510608204,0.8106311205263944,0.8195097557626622,0.8225524156341683,0.8407434749548467,0.8106311205263944
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,6,106,42,,1948,,reconstructed_from_existing_predictions,0.8331622176591376,0.7632891784365876,0.7641528122687234,0.8348222896704289,0.7752125048426205,0.7632891784365876
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,7,107,42,,1813,,reconstructed_from_existing_predictions,0.8742415885273028,0.8558838770243319,0.8662163675874208,0.8756394443486878,0.8911767958930372,0.8558838770243319
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,8,108,42,,2041,,reconstructed_from_existing_predictions,0.7628613424791769,0.7492872155876937,0.7615133563498632,0.7610142930013206,0.8145287985459899,0.7492872155876937
pamap2,acc16_gyro,non_overlapping,128,128,loso,baselines,knn_k5,9,109,42,,49,,reconstructed_from_existing_predictions,0.5306122448979592,1.0,0.07703703703703704,0.6933333333333334,0.1111111111111111,0.05895691609977324
