,precision,recall,f1-score,support
lying,0.9944465012958164,0.8962295628962296,0.9427869427869427,2997.0
sitting,0.7604651162790698,0.6807772380291465,0.7184181618454778,2882.0
standing,0.7105898585719214,0.6968876860622463,0.703672075149445,2956.0
walking,0.776410494543766,0.8996502555824589,0.8334995014955134,3717.0
running,0.8852344296710987,0.8289646133682831,0.856175972927242,1526.0
cycling,0.9224806201550387,0.7893094030433087,0.8507148864592095,2563.0
nordic_walking,0.8835758835758836,0.7257513661202186,0.7969248078004876,2928.0
ascending_stairs,0.7177739920499716,0.6991150442477876,0.708321658727935,1808.0
descending_stairs,0.7734375,0.5520446096654275,0.6442516268980477,1614.0
vacuum_cleaning,0.6054995916144841,0.8152492668621701,0.6948914232151226,2728.0
ironing,0.6594865100087032,0.8152232383001614,0.7291315852778446,3718.0
rope_jumping,0.9502982107355865,0.6272965879265092,0.7557312252964427,762.0
accuracy,0.7733037517798602,0.7733037517798602,0.7733037517798602,0.7733037517798602
macro avg,0.8033082257084451,0.7522082393419955,0.7695433223233091,30199.0
weighted avg,0.7892545542980497,0.7733037517798602,0.774773947884261,30199.0
