,precision,recall,f1-score,support
lying,0.9679752066115702,0.9379379379379379,0.9527198779867819,2997.0
sitting,0.7960135708227312,0.6512838306731437,0.716412213740458,2882.0
standing,0.6756840796019901,0.7351150202976996,0.7041477640959171,2956.0
walking,0.9147487844408427,0.7592144202313694,0.8297559541311379,3717.0
running,0.9834983498349835,0.781127129750983,0.870708546384222,1526.0
cycling,0.8812,0.8595396020288724,0.8702350385147146,2563.0
nordic_walking,0.9450733752620545,0.769808743169399,0.8484848484848485,2928.0
ascending_stairs,0.6095919225915019,0.8014380530973452,0.6924731182795699,1808.0
descending_stairs,0.5494864612511672,0.7292441140024783,0.626730564430245,1614.0
vacuum_cleaning,0.7578947368421053,0.844574780058651,0.7988904299583911,2728.0
ironing,0.758206195099399,0.8821947283485745,0.8155146693187469,3718.0
rope_jumping,0.8960244648318043,0.7690288713910761,0.827683615819209,762.0
accuracy,0.7989668532070598,0.7989668532070598,0.7989668532070598,0.7989668532070598
macro avg,0.8112830955991791,0.7933756025822941,0.7961463867620201,30199.0
weighted avg,0.8171600570615929,0.7989668532070598,0.8025043380875603,30199.0
