,precision,recall,f1-score,support
lying,0.887847446670976,0.9165832499165832,0.9019865375143654,2997.0
sitting,0.7381144238517324,0.6356696738376127,0.6830723340790454,2882.0
standing,0.6528864059590317,0.5930311231393776,0.6215210069136677,2956.0
walking,0.8243442381373416,0.752488566047888,0.7867791842475387,3717.0
running,0.7800528401585205,0.7739187418086501,0.7769736842105263,1526.0
cycling,0.863599348534202,0.8275458447132267,0.8451882845188284,2563.0
nordic_walking,0.9118104118104118,0.8015710382513661,0.8531443111595783,2928.0
ascending_stairs,0.5314333612740989,0.7013274336283186,0.6046733428707678,1808.0
descending_stairs,0.47488372093023257,0.6325898389095415,0.5425079702444209,1614.0
vacuum_cleaning,0.7179573892458573,0.7782258064516129,0.746877748460862,2728.0
ironing,0.7286577357499343,0.7461000537923614,0.7372757475083056,3718.0
rope_jumping,0.7689015691868759,0.7073490813648294,0.7368421052631579,762.0
accuracy,0.745157124408093,0.745157124408093,0.745157124408093,0.745157124408093
macro avg,0.7400407409591011,0.7388667043217807,0.736403521415922,30199.0
weighted avg,0.7562046764597264,0.745157124408093,0.748118582786384,30199.0
