,precision,recall,f1-score,support
lying,0.0,0.0,0.0,2997.0
sitting,0.0,0.0,0.0,2882.0
standing,0.0,0.0,0.0,2956.0
walking,0.10794677278945405,0.4670433145009416,0.175362392040002,3717.0
running,0.0,0.0,0.0,1526.0
cycling,0.0,0.0,0.0,2563.0
nordic_walking,0.0,0.0,0.0,2928.0
ascending_stairs,0.0,0.0,0.0,1808.0
descending_stairs,0.0,0.0,0.0,1614.0
vacuum_cleaning,0.0,0.0,0.0,2728.0
ironing,0.12283062973719629,0.46637977407208175,0.19444911690496217,3718.0
rope_jumping,0.0,0.0,0.0,762.0
accuracy,0.11490446703533229,0.11490446703533229,0.11490446703533229,0.11490446703533229
macro avg,0.019231450210554196,0.07778525738108528,0.03081762574541368,30199.0
weighted avg,0.028408968370518775,0.11490446703533229,0.0455241507290088,30199.0
