,precision,recall,f1-score,support
lying,0.9436256448047163,0.8545211878545211,0.8968656977762214,2997.0
sitting,0.6165512693702605,0.648854961832061,0.63229078613694,2882.0
standing,0.5139101192295934,0.5686738836265224,0.5399068572346234,2956.0
walking,0.9548776612646965,0.8084476728544525,0.8755827505827506,3717.0
running,0.9105638366817888,0.9207077326343381,0.9156076898012382,1526.0
cycling,0.9659949622166247,0.8977760436987905,0.9306370070778565,2563.0
nordic_walking,0.9669211195928753,0.7786885245901639,0.8626560726447219,2928.0
ascending_stairs,0.5283018867924528,0.7743362831858407,0.6280843427545985,1808.0
descending_stairs,0.7677053824362606,0.6716232961586122,0.7164573694646398,1614.0
vacuum_cleaning,0.7675079985780305,0.7914222873900293,0.7792817181014258,2728.0
ironing,0.7205240174672489,0.7544378698224852,0.737091052424123,3718.0
rope_jumping,0.6215666327568667,0.8018372703412073,0.7002865329512894,762.0
accuracy,0.7669790390410278,0.7669790390410278,0.7669790390410278,0.7669790390410278
macro avg,0.7731708775992846,0.7726105844990854,0.7678956564125357,30199.0
weighted avg,0.7884501515305689,0.7669790390410278,0.7735657917243389,30199.0
