,precision,recall,f1-score,support
lying,0.9767441860465116,0.9109109109109109,0.9426795580110497,2997.0
sitting,0.7362962962962963,0.6897987508674531,0.7122895019706198,2882.0
standing,0.6115424430641822,0.7993910690121786,0.6929618768328446,2956.0
walking,0.7987886944818304,0.9580306698950767,0.8711926605504587,3717.0
running,0.9373315363881402,0.9115334207077327,0.9242524916943522,1526.0
cycling,0.9077688480673556,0.925477955520874,0.9165378670788253,2563.0
nordic_walking,0.9616413916146298,0.7363387978142076,0.8340425531914893,2928.0
ascending_stairs,0.8333333333333334,0.8351769911504425,0.8342541436464088,1808.0
descending_stairs,0.8840125391849529,0.6988847583643123,0.7806228373702422,1614.0
vacuum_cleaning,0.8705656759348035,0.6656891495601173,0.754466140423764,2728.0
ironing,0.7326616682286785,0.8410435718128025,0.7831204608064112,3718.0
rope_jumping,0.9450915141430949,0.7454068241469817,0.8334556126192223,762.0
accuracy,0.8182390145369052,0.8182390145369052,0.8182390145369052,0.8182390145369052
macro avg,0.8496481772319843,0.8098069058135907,0.8233229753496407,30199.0
weighted avg,0.832853824712049,0.8182390145369052,0.819212400775326,30199.0
