,precision,recall,f1-score,support
lying,0.9088093599449415,0.8812145478812146,0.8947992546162968,2997.0
sitting,0.729598445595855,0.7817487855655795,0.7547738693467336,2882.0
standing,0.7038355081059707,0.6021650879566982,0.6490428441203282,2956.0
walking,0.8939277478862413,0.9386602098466506,0.915748031496063,3717.0
running,0.941834451901566,0.827653997378768,0.8810603418207186,1526.0
cycling,0.9052312357846853,0.9317206398751463,0.9182849452028456,2563.0
nordic_walking,0.9596586501163693,0.8449453551912568,0.8986560116236832,2928.0
ascending_stairs,0.7911494873178629,0.8108407079646017,0.8008740781207321,1808.0
descending_stairs,0.8338008415147266,0.7366790582403965,0.7822368421052631,1614.0
vacuum_cleaning,0.7561369509043928,0.8581378299120235,0.8039148351648352,2728.0
ironing,0.7663987555094633,0.7950511027434104,0.7804620462046205,3718.0
rope_jumping,0.6382113821138211,0.8241469816272966,0.7193585337915235,762.0
accuracy,0.8234709758601279,0.8234709758601279,0.8234709758601279,0.8234709758601279
macro avg,0.8190494013913248,0.8194136920152536,0.8166009694678036,30199.0
weighted avg,0.826900930851117,0.8234709758601279,0.8232790586876422,30199.0
