,precision,recall,f1-score,support
lying,0.98907681465821,0.9366032699366033,0.9621251071122536,2997.0
sitting,0.8574144486692015,0.7824427480916031,0.8182148040638607,2882.0
standing,0.7297297297297297,0.8403247631935047,0.7811320754716982,2956.0
walking,0.9548316452231043,0.9383911756793113,0.9465400271370421,3717.0
running,0.9978693181818182,0.9207077326343381,0.9577368779822768,1526.0
cycling,0.9677284157585918,0.9008973858759266,0.9331178015760759,2563.0
nordic_walking,0.98177178271965,0.91974043715847,0.94974431317228,2928.0
ascending_stairs,0.8732954545454545,0.8501106194690266,0.8615470852017937,1808.0
descending_stairs,0.9315789473684211,0.7676579925650557,0.8417119565217391,1614.0
vacuum_cleaning,0.802321611471492,0.8614369501466276,0.8308290613399328,2728.0
ironing,0.7688172043010753,0.9230769230769231,0.8389146907846492,3718.0
rope_jumping,0.9892966360856269,0.8490813648293963,0.9138418079096046,762.0
accuracy,0.8823470975860128,0.8823470975860128,0.8823470975860128,0.8823470975860128
macro avg,0.9036443340593646,0.8742059468880656,0.8862879673561005,30199.0
weighted avg,0.8908477966542667,0.8823470975860128,0.8841674440435039,30199.0
