,precision,recall,f1-score,support
lying,0.9909194097616345,0.8738738738738738,0.9287234042553192,2997.0
sitting,0.7926004980434009,0.7730742539902845,0.7827156156683647,2882.0
standing,0.6771788990825688,0.7990527740189445,0.7330850403476101,2956.0
walking,0.9617290748898678,0.9397363465160076,0.9506055245611648,3717.0
running,0.8412112259970458,0.7463958060288336,0.7909722222222222,1526.0
cycling,0.9386942675159236,0.9200156067108857,0.9292610837438424,2563.0
nordic_walking,0.9829024186822352,0.8049863387978142,0.8850920015020654,2928.0
ascending_stairs,0.805408271474019,0.8401548672566371,0.8224147265836491,1808.0
descending_stairs,0.8369795342272407,0.734820322180917,0.7825800065984824,1614.0
vacuum_cleaning,0.8088483620398514,0.8779325513196481,0.8419757426612762,2728.0
ironing,0.8041830065359478,0.8273265196342119,0.8155906138141323,3718.0
rope_jumping,0.5078616352201258,0.847769028871391,0.6352015732546706,762.0
accuracy,0.8403589522831881,0.8403589522831881,0.8403589522831881,0.8403589522831881
macro avg,0.829043050289155,0.8320948574332873,0.8248514629343999,30199.0
weighted avg,0.8539551760964834,0.8403589522831881,0.8438408223248977,30199.0
