,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2811,13,61,13,0,7,1,13,0,38,40,0
sitting,6,1877,494,0,2,179,19,3,0,51,251,0
standing,69,256,2173,59,2,2,22,128,11,39,163,32
walking,3,3,54,2822,1,2,27,360,370,43,32,0
running,0,14,27,2,1192,5,5,19,217,10,32,3
cycling,1,24,10,1,0,2203,0,32,14,209,69,0
nordic_walking,0,24,26,106,1,1,2254,241,203,15,56,1
ascending_stairs,6,24,91,46,0,6,9,1449,55,58,62,2
descending_stairs,0,26,91,33,5,12,27,93,1177,59,78,13
vacuum_cleaning,7,23,51,2,6,35,17,32,20,2304,228,3
ironing,1,69,115,0,0,48,1,1,4,185,3280,14
rope_jumping,0,5,23,1,3,0,3,6,71,29,35,586
