,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,0,0,0,1531,0,0,0,0,0,0,1466,0
sitting,0,0,0,1499,0,0,0,0,0,0,1383,0
standing,0,0,0,1453,0,0,0,0,0,0,1503,0
walking,0,0,0,1736,0,0,0,0,0,0,1981,0
running,0,0,0,1327,0,0,0,0,0,0,199,0
cycling,0,0,0,1466,0,0,0,0,0,0,1097,0
nordic_walking,0,0,0,1589,0,0,0,0,0,0,1339,0
ascending_stairs,0,0,0,850,0,0,0,0,0,0,958,0
descending_stairs,0,0,0,746,0,0,0,0,0,0,868,0
vacuum_cleaning,0,0,0,1443,0,0,0,0,0,0,1285,0
ironing,0,0,0,1984,0,0,0,0,0,0,1734,0
rope_jumping,0,0,0,458,0,0,0,0,0,0,304,0
