,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2619,23,89,0,2,0,0,4,0,19,32,209
sitting,13,2228,397,0,2,28,3,24,18,36,117,16
standing,3,293,2362,0,5,0,0,42,32,43,149,27
walking,0,10,64,3493,4,0,17,55,29,5,22,18
running,0,8,39,8,1139,1,6,9,26,9,32,249
cycling,2,43,26,0,1,2358,4,4,4,67,45,9
nordic_walking,0,30,25,68,160,0,2357,143,48,29,48,20
ascending_stairs,0,24,103,26,19,3,0,1519,25,25,46,18
descending_stairs,1,17,98,33,1,60,2,38,1186,72,77,29
vacuum_cleaning,3,20,65,3,4,17,9,26,22,2395,154,10
ironing,2,87,209,0,3,44,0,14,23,239,3076,21
rope_jumping,0,28,11,1,14,1,0,8,4,22,27,646
