feature,importance
chest_acc16_y_max,0.05472117579905081
ankle_gyro_z_min,0.05441350718835024
hand_acc16_z_mean,0.05251043476546832
ankle_acc16_x_median,0.04637312815052853
ankle_gyro_z_std,0.04078284414166124
chest_acc16_z_min,0.036701689645916226
hand_acc16_x_max,0.03324277409910724
ankle_acc16_x_energy,0.031607461682172266
hand_acc16_y_rms,0.028848268071750775
ankle_acc16_x_rms,0.02884235903008637
ankle_gyro_z_max,0.02455189020085203
chest_acc16_y_min,0.02340904429520954
hand_acc16_y_fft_energy,0.023128839549527592
ankle_acc16_x_mad,0.022434487718940358
chest_acc16_y_rms,0.022000689024857512
ankle_acc16_x_min,0.02042928381269549
hand_acc16_x_energy,0.019908422348053192
ankle_acc16_x_fft_energy,0.019641933373799776
ankle_acc16_x_iqr,0.01862587852228912
chest_acc16_z_median,0.018293488982610382
hand_acc16_z_median,0.01653816067848052
hand_acc16_y_energy,0.016516602606606503
hand_acc16_x_rms,0.016428072887674238
chest_acc16_y_std,0.015588300727053651
hand_acc16_x_median,0.015495312769267964
hand_acc16_x_min,0.014477999492227802
chest_gyro_x_mad,0.01307180620142882
ankle_acc16_x_mean,0.013062848650837788
hand_gyro_z_mad,0.012783805160058
hand_acc16_z_max,0.012673501549911322
ankle_acc16_z_max,0.012177496272533159
ankle_acc16_y_fft_energy,0.010267916706081641
chest_acc16_y_iqr,0.010235944354864851
hand_acc16_x_mean,0.00973681244868667
ankle_acc16_x_std,0.009016794066374125
ankle_acc16_z_fft_energy,0.008770796803274528
ankle_acc16_x_max,0.008736232174283326
hand_acc16_y_mad,0.008540218374150012
chest_acc16_z_mean,0.008287969161507872
chest_acc16_y_fft_energy,0.007946101773837588
chest_acc16_x_rms,0.00793658659779884
ankle_acc16_z_min,0.007824478757596622
ankle_gyro_x_std,0.006778477140270808
ankle_acc16_y_std,0.006682717571094029
ankle_acc16_y_max,0.00661142908905835
ankle_acc16_z_mean,0.00574041404984822
hand_acc16_x_iqr,0.005173543864146594
chest_acc16_y_energy,0.0050671595248065505
chest_acc16_z_max,0.004786166505371797
ankle_acc16_z_rms,0.004664161016970597
hand_gyro_z_iqr,0.00439362814882581
ankle_gyro_z_mad,0.0042109134722368565
chest_acc16_y_mad,0.003932536192652716
ankle_acc16_z_energy,0.0037630855690474765
chest_acc16_x_fft_energy,0.003724310426483874
chest_acc16_z_entropy,0.0036349346770476517
ankle_acc16_y_rms,0.0035197564044928365
chest_acc16_z_fft_energy,0.0031099533854771024
chest_acc16_x_median,0.0030920585956588503
chest_acc16_z_kurtosis,0.0029822835881819585
ankle_acc16_y_median,0.0029683462837480994
chest_acc16_z_rms,0.0029422227429233183
hand_acc16_y_kurtosis,0.002939566417451127
hand_acc16_y_min,0.002751509265873389
chest_gyro_x_max,0.0026894740202889314
chest_acc16_z_energy,0.0026478707372227716
chest_gyro_x_fft_energy,0.002645242339464205
ankle_acc16_z_median,0.0026375181361914875
hand_acc16_z_min,0.0025081596506395555
ankle_gyro_z_rms,0.0023938089767018005
hand_acc16_y_mean,0.002309026798236588
chest_acc16_x_min,0.0022655835190289364
hand_gyro_y_fft_energy,0.0021396427619739407
ankle_gyro_x_fft_argmax,0.002107410421827671
hand_gyro_z_std,0.0019751794276835297
chest_gyro_y_energy,0.0019168703626387378
chest_gyro_y_max,0.0008865163850527401
chest_gyro_x_std,0.0008271639139184031
chest_gyro_z_mean,0.0
chest_gyro_y_mean,0.0
ankle_gyro_y_mean,0.0
ankle_acc16_y_mean,0.0
hand_acc16_x_std,0.0
hand_acc16_y_std,0.0
chest_gyro_y_fft_argmax,0.0
ankle_gyro_x_mean,0.0
chest_gyro_z_fft_argmax,0.0
