feature,importance
chest_acc16_y_max,0.21920777669066308
chest_acc16_y_min,0.11278491309143501
hand_acc16_y_energy,0.08122553947498168
ankle_acc16_x_median,0.06583802485906853
ankle_gyro_z_std,0.04946404037946412
chest_acc16_y_std,0.04774882213536033
hand_acc16_x_iqr,0.04757498949421467
ankle_acc16_x_iqr,0.03408045511042169
hand_acc16_x_mean,0.03261932230045351
ankle_acc16_x_min,0.023387215271225916
chest_acc16_z_min,0.016770236564846743
chest_gyro_y_mad,0.01658490622713788
hand_acc16_x_rms,0.01442794703828321
hand_acc16_x_min,0.010596790490235151
hand_acc16_z_median,0.009823012610010291
chest_gyro_y_fft_energy,0.008703309687478837
chest_acc16_z_max,0.008334033462196758
chest_acc16_x_rms,0.0073089783010467846
ankle_gyro_x_energy,0.007182922681844855
hand_acc16_y_max,0.006610674009143579
hand_acc16_z_mean,0.006527528662400451
hand_acc16_x_max,0.006150090095417862
ankle_gyro_x_mean,0.005953647538478513
chest_acc16_x_mean,0.005612609790446474
ankle_acc16_y_fft_energy,0.004719829898610196
ankle_acc16_z_mean,0.004275071693778981
ankle_acc16_y_max,0.004213605157732164
hand_acc16_y_entropy,0.003664774201816923
ankle_acc16_x_mad,0.0033436381547887273
ankle_acc16_z_fft_energy,0.003231612519224543
hand_acc16_y_iqr,0.0029885326255813076
hand_acc16_z_max,0.0029111483342587094
ankle_acc16_y_mean,0.0028931552469948613
chest_acc16_x_min,0.0028185677620629446
chest_acc16_z_mean,0.002746512369196511
hand_acc16_x_fft_energy,0.002696982773947446
ankle_gyro_z_max,0.0026959297310576607
chest_gyro_x_fft_energy,0.002676855303441437
chest_acc16_z_energy,0.0025377915996754015
hand_gyro_x_iqr,0.0024019487728846817
hand_acc16_x_mad,0.002393429622634467
chest_acc16_z_median,0.0021984386369935396
ankle_acc16_z_max,0.00219712089263869
ankle_acc16_y_rms,0.0021920899347060234
hand_acc16_y_fft_energy,0.002108112097901006
chest_acc16_z_rms,0.0020419245329520654
hand_acc16_x_median,0.0018224889375931827
chest_acc16_x_fft_energy,0.0018029462446852225
ankle_acc16_z_mad,0.0016934881199606603
chest_acc16_z_kurtosis,0.0016366472212916065
hand_acc16_x_energy,0.0016230221588558772
ankle_acc16_z_median,0.0014665162693137767
ankle_acc16_y_min,0.0014547273580095188
hand_acc16_y_min,0.0014519050895426095
hand_gyro_z_mad,0.0014438347270272923
chest_gyro_y_mean,0.0013920540050651855
chest_acc16_x_median,0.0013902182344804651
ankle_acc16_x_kurtosis,0.0013793491452170825
ankle_acc16_x_energy,0.001349483239552122
ankle_acc16_y_median,0.0012698352641006242
hand_acc16_z_min,0.0012124701795424061
hand_acc16_y_median,0.0011936357460358266
chest_acc16_x_energy,0.0011669926533653728
hand_gyro_z_iqr,0.0011311584218466795
