feature,importance
chest_acc16_y_max,0.026847658818172603
chest_acc16_y_std,0.020524768129791142
ankle_gyro_z_mad,0.019097286281124465
ankle_gyro_z_fft_energy,0.01794272133528808
chest_acc16_y_min,0.017862479751570588
ankle_gyro_z_std,0.016836589962559465
ankle_acc16_x_std,0.015576058339885245
chest_acc16_y_energy,0.01543491971219464
ankle_gyro_z_rms,0.015168857924697224
hand_acc16_y_energy,0.015156096996967683
ankle_acc16_x_mad,0.01484328040925735
ankle_acc16_x_max,0.014763551315593234
hand_acc16_y_rms,0.014349797494716758
ankle_acc16_y_std,0.014300280814360213
chest_acc16_y_mad,0.01428609376058039
hand_acc16_y_fft_energy,0.013592416503618072
ankle_acc16_x_min,0.013519829374528062
ankle_gyro_z_energy,0.01309556119371674
ankle_acc16_x_fft_energy,0.012851050211916114
ankle_acc16_x_iqr,0.012752107193995695
ankle_acc16_x_energy,0.012703789819364888
chest_acc16_y_rms,0.012457487617356428
ankle_acc16_y_mad,0.011894348132373455
ankle_acc16_x_rms,0.01180322423709796
ankle_acc16_x_mean,0.01161190462837636
chest_acc16_y_iqr,0.011119569996494159
chest_acc16_z_median,0.00992212645571663
hand_acc16_x_max,0.00986758015992637
hand_acc16_x_median,0.00986081203858577
ankle_gyro_z_max,0.009835386057699548
chest_acc16_y_fft_energy,0.009471916643899422
hand_acc16_x_min,0.009236781139126703
chest_acc16_y_mean,0.009230092744766829
hand_acc16_x_mean,0.009193556163429801
ankle_gyro_z_min,0.009107940031057039
hand_acc16_y_iqr,0.008893488390981167
ankle_acc16_z_std,0.00863541439874146
chest_acc16_z_fft_energy,0.0086018219244087
chest_acc16_z_mean,0.008414258357108967
chest_acc16_y_median,0.008373508922528906
hand_acc16_x_fft_energy,0.007986946677229713
hand_acc16_x_energy,0.007717099562131127
hand_acc16_y_std,0.007686953350981144
hand_acc16_x_rms,0.007642565379791453
ankle_acc16_x_median,0.007626577808332802
hand_acc16_z_median,0.007400227958954959
chest_acc16_z_min,0.0073170648562405904
hand_acc16_y_mad,0.007201730238262155
hand_acc16_z_mean,0.007094759529471638
chest_gyro_y_rms,0.006948237710365136
chest_acc16_z_energy,0.006856567275930957
chest_gyro_x_max,0.006821353675536136
ankle_gyro_x_std,0.006721566986926278
chest_acc16_z_max,0.006704893965561128
chest_gyro_x_energy,0.006608558578143068
ankle_gyro_x_mad,0.006347619627609046
chest_gyro_y_std,0.006080619313336741
chest_acc16_z_rms,0.0060025880867317465
chest_gyro_y_energy,0.005916619375531275
hand_acc16_x_mad,0.0057414249076699325
ankle_acc16_y_rms,0.005507353586587541
ankle_gyro_x_rms,0.005493024757825969
