dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_train,n_test,fit_predict_sec,label_encoding_note,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,1,101,42,,3883,,reconstructed_from_existing_predictions,0.8552665464846768,0.8509108198748595,0.8610762516055921,0.8591003204569839,0.8881332211767621,0.8509108198748595
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,2,102,42,,4095,,reconstructed_from_existing_predictions,0.8703296703296703,0.8619189352626074,0.8714352260918306,0.8691852306126311,0.904362316340924,0.8619189352626074
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,3,103,42,,2708,,reconstructed_from_existing_predictions,0.8962333825701625,0.8806257321396316,0.6487422678950355,0.8989235557536843,0.6674005375580956,0.6372740356885147
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,4,104,42,,3599,,reconstructed_from_existing_predictions,0.8585718255070853,0.8560916906213121,0.8574875398717389,0.8616871216457173,0.8743741420140069,0.8560916906213121
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,5,105,42,,4236,,reconstructed_from_existing_predictions,0.8862134088762984,0.8800086634581622,0.8886240322196137,0.8882777463822485,0.9026303469076501,0.8800086634581622
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,6,106,42,,3887,,reconstructed_from_existing_predictions,0.8646771288911758,0.7896264508486505,0.7884887778874168,0.8669434256018405,0.790379238782808,0.7896264508486505
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,7,107,42,,3617,,reconstructed_from_existing_predictions,0.9189936411390656,0.8971381878542437,0.909996453543108,0.9193676005520443,0.9290346290357365,0.8971381878542437
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,8,108,42,,4076,,reconstructed_from_existing_predictions,0.9131501472031404,0.8913539850459907,0.9043654121577318,0.9150558959340329,0.9248447698598324,0.8913539850459907
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,random_forest,9,109,42,,98,,reconstructed_from_existing_predictions,0.8469387755102041,1.0,0.18342541436464088,0.9171270718232045,0.2,0.16938775510204082
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,1,101,42,,3883,,reconstructed_from_existing_predictions,0.8168941540046356,0.8094151619034564,0.8153375301316013,0.8170702074455686,0.8404048801656782,0.8094151619034564
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,2,102,42,,4095,,reconstructed_from_existing_predictions,0.7978021978021979,0.8076987150683782,0.8111030644132634,0.7879678395538589,0.8571442140891922,0.8076987150683782
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,3,103,42,,2708,,reconstructed_from_existing_predictions,0.7998522895125554,0.7992346770523842,0.5359833174926671,0.8092091877003437,0.5590797570496769,0.5240983332449772
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,4,104,42,,3599,,reconstructed_from_existing_predictions,0.8291191997777161,0.8239843553207346,0.6921957286462197,0.8294228795858806,0.724331957814408,0.6841267083780559
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,5,105,42,,4236,,reconstructed_from_existing_predictions,0.8312086874409821,0.8231457969094492,0.8311406548569704,0.8329709319423367,0.8510958233252833,0.8231457969094492
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,6,106,42,,3887,,reconstructed_from_existing_predictions,0.84178029328531,0.771582515345948,0.7711391135081334,0.8432582281039404,0.7803750908506902,0.771582515345948
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,7,107,42,,3617,,reconstructed_from_existing_predictions,0.8744816145977329,0.8573567808246085,0.793976857616542,0.876266796738185,0.8132265473056149,0.7852472134866139
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,8,108,42,,4076,,reconstructed_from_existing_predictions,0.7632482826300294,0.7509521570377524,0.7594877886027357,0.7611686907299058,0.8078426204723237,0.7509521570377524
pamap2,acc16_gyro,overlapping,128,64,loso,baselines,knn_k5,9,109,42,,98,,reconstructed_from_existing_predictions,0.5510204081632653,1.0,0.07105263157894737,0.7105263157894737,0.1,0.055102040816326525
