dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,cnn,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,302188,302188,0,1.1527557373046875,0.7630697913984033,0.7708378601411364,0.7559626985702725,0.7473764044941583,0.7795849881895481,0.7708378601411364,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,302188,302188,0,1.1527557373046875,0.7948717948717948,0.7826965341518427,0.7686712594710641,0.765988367975491,0.7731367188516006,0.7826965341518427,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,302188,302188,0,1.1527557373046875,0.8792466765140325,0.8612279078480776,0.5865291416392983,0.8856677702666387,0.6057680737654911,0.5741519385653852,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,302188,302188,0,1.1527557373046875,0.747429841622673,0.756620595629823,0.6030255838366564,0.7272963389461381,0.6246961823420412,0.6305171630248526,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,302188,302188,0,1.1527557373046875,0.8097261567516525,0.8181980789210613,0.819830508322117,0.8124067308358197,0.8375684118519695,0.8181980789210613,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,302188,302188,0,1.1527557373046875,0.8767687162335992,0.8012108333544466,0.7998160606404086,0.8800094153277177,0.8017147151328308,0.8012108333544466,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,302188,302188,0,1.1527557373046875,0.8490461708598286,0.7815405645247592,0.7321722956188066,0.8379834099930376,0.7823352128577145,0.7164121841476959,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,302188,302188,0,1.1527557373046875,0.3088812561334642,0.3211500397098202,0.2369895013626992,0.2566187001359888,0.2759633401972468,0.3211500397098202,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,302188,302188,0,1.1527557373046875,0.8061224489795918,0.8061224489795918,0.0743879472693032,0.8926553672316384,0.0833333333333333,0.0671768707482993,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,gnn,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,10892,10892,0,0.0415496826171875,0.7110481586402266,0.6729205561707133,0.6696959557088963,0.6977305165552203,0.7039761150381308,0.6729205561707133,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,10892,10892,0,0.0415496826171875,0.6905982905982906,0.7013558270568213,0.6927068910855944,0.6809924920075485,0.7663006550426202,0.7013558270568213,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,10892,10892,0,0.0415496826171875,0.8013293943870015,0.7682130789253235,0.523245726790468,0.8053324962045393,0.5560582264039237,0.5121420526168823,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,10892,10892,0,0.0415496826171875,0.8724645734926368,0.8619594325895751,0.7224179143512073,0.8738272899621325,0.7317343106708855,0.7182995271579792,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,10892,10892,0,0.0415496826171875,0.8215297450424929,0.7709781300611033,0.7870524456704913,0.8177889135652249,0.8456104964284243,0.7709781300611033,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,10892,10892,0,0.0415496826171875,0.8224852071005917,0.7452165870272319,0.7499059327517489,0.8268228676055361,0.7748359364283369,0.7452165870272319,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,10892,10892,0,0.0415496826171875,0.8744816145977329,0.8422062249994458,0.7824836688472621,0.8730865179659972,0.8040588401403163,0.7720223729161586,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,10892,10892,0,0.0415496826171875,0.426153091265947,0.4262246625828874,0.3640055059088788,0.3753181770831659,0.3636237087038843,0.4262246625828874,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,10892,10892,0,0.0415496826171875,0.7448979591836735,0.7448979591836735,0.0711500974658869,0.8538011695906432,0.0833333333333333,0.0620748299319727,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn_attention_adj,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,11333,11333,0,0.0432319641113281,0.7218645377285604,0.6817180154576099,0.6723352923724849,0.7021120235983176,0.7280951930484941,0.6817180154576099,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
