,precision,recall,f1-score,support
lying,0.8694823753572563,0.9135802469135802,0.8909860071591279,2997.0
sitting,0.5183003786285233,0.42748091603053434,0.46853013880965966,2882.0
standing,0.6437823834196891,0.6725304465493911,0.6578424884182661,2956.0
walking,0.9296703296703297,0.7966101694915254,0.8580121703853956,3717.0
running,0.9052466718872357,0.7575360419397117,0.8248305387085266,1526.0
cycling,0.7944725574153367,0.796332422941865,0.7954014029618083,2563.0
nordic_walking,0.9209358612343687,0.7797131147540983,0.8444608840392084,2928.0
ascending_stairs,0.8357010500308832,0.7483407079646017,0.7896119054566676,1808.0
descending_stairs,0.4583173261621206,0.7391573729863693,0.5658050746976524,1614.0
vacuum_cleaning,0.719344262295082,0.8042521994134897,0.7594323295257874,2728.0
ironing,0.6830324909747293,0.7633136094674556,0.7209450019052458,3718.0
rope_jumping,0.8626543209876543,0.7335958005249343,0.7929078014184398,762.0
accuracy,0.7462498758237027,0.7462498758237027,0.7462498758237027,0.7462498758237027
macro avg,0.761745000671934,0.7443702540814631,0.7473971452904822,30199.0
weighted avg,0.7610260506319777,0.7462498758237027,0.7490816780442384,30199.0
