,precision,recall,f1-score,support
lying,0.859402460456942,0.8158158158158159,0.8370421088668264,2997.0
sitting,0.6269722013523666,0.5791117279666897,0.6020923520923521,2882.0
standing,0.5628847845206685,0.6495263870094723,0.6031097848280195,2956.0
walking,0.8064593878042902,0.9001883239171374,0.8507500635647088,3717.0
running,0.8887147335423198,0.7431192660550459,0.8094218415417559,1526.0
cycling,0.9187368421052632,0.85134607881389,0.8837586067233698,2563.0
nordic_walking,0.9592740150509075,0.7400956284153005,0.8355504144977829,2928.0
ascending_stairs,0.6789563244469654,0.6620575221238938,0.6704004480537664,1808.0
descending_stairs,0.6594516594516594,0.5662949194547707,0.6093333333333333,1614.0
vacuum_cleaning,0.7582688247712879,0.7899560117302052,0.7737881508078994,2728.0
ironing,0.6674023394394174,0.8133405056481979,0.733179779367196,3718.0
rope_jumping,0.5657142857142857,0.5196850393700787,0.5417236662106704,762.0
accuracy,0.7466803536540945,0.7466803536540945,0.7466803536540945,0.7466803536540945
macro avg,0.7460198215546979,0.7192114355267082,0.72917921249064,30199.0
weighted avg,0.75620573867513,0.7466803536540945,0.7477339137363767,30199.0
