,precision,recall,f1-score,support
lying,0.8733047822983583,0.8164831498164832,0.8439386101051906,2997.0
sitting,0.6669019054340155,0.655794587092297,0.6613016095171449,2882.0
standing,0.6073228973202441,0.7743572395128552,0.6807434944237918,2956.0
walking,0.8027194066749073,0.8735539413505515,0.836640041226488,3717.0
running,0.8823529411764706,0.7568807339449541,0.8148148148148148,1526.0
cycling,0.9020090200902009,0.8583690987124464,0.8796481407437026,2563.0
nordic_walking,0.9383145091225021,0.7377049180327869,0.8260038240917782,2928.0
ascending_stairs,0.7012987012987013,0.6272123893805309,0.6621897810218978,1808.0
descending_stairs,0.5404433792690234,0.5588599752168525,0.5494974109046604,1614.0
vacuum_cleaning,0.795429815016322,0.8038856304985337,0.7996353691886965,2728.0
ironing,0.7553402881271734,0.8179128563743948,0.7853822314049587,3718.0
rope_jumping,0.626984126984127,0.5183727034120735,0.5675287356321839,762.0
accuracy,0.7633696480015895,0.7633696480015895,0.7633696480015895,0.7633696480015895
macro avg,0.7577018144010038,0.7332822686120632,0.7422770052562756,30199.0
weighted avg,0.7722188857249234,0.7633696480015895,0.7646528067251676,30199.0
