,precision,recall,f1-score,support
lying,0.9873194786896795,0.9582905982905983,0.972588480222068,2925.0
sitting,0.7461368653421634,0.703678001387925,0.7242857142857143,2882.0
standing,0.710451170759566,0.8416779431664412,0.7705171879838959,2956.0
walking,0.9509981851179673,0.8458434221146085,0.8953438701409654,3717.0
running,0.9328649492583919,0.7830930537352556,0.8514428215176345,1526.0
cycling,0.955486138227255,0.9547405384315255,0.9551131928181108,2563.0
nordic_walking,0.987221959299574,0.712431693989071,0.8276135687363618,2928.0
ascending_stairs,0.6057770545158666,0.8235619469026548,0.6980778246601032,1808.0
descending_stairs,0.6473988439306358,0.7633209417596035,0.7005970998009667,1614.0
vacuum_cleaning,0.871024117441454,0.9134897360703812,0.8917516550366792,2728.0
ironing,0.8413173652694611,0.8313609467455622,0.8363095238095238,3718.0
rope_jumping,0.7128603104212861,0.8539176626826029,0.7770392749244713,753.0
accuracy,0.8346503751909158,0.8346503751909158,0.8346503751909158,0.8346503751909158
macro avg,0.8290713698561083,0.8321172071063526,0.8250566844947079,30118.0
weighted avg,0.8505671305024971,0.8346503751909158,0.8376539085878997,30118.0
