,precision,recall,f1-score,support
lying,0.9693836978131213,0.8134801468134801,0.8846153846153846,2997.0
sitting,0.6932471264367817,0.6696738376127689,0.6812566184256972,2882.0
standing,0.6361111111111111,0.8521650879566982,0.7284557547715442,2956.0
walking,0.906355455568054,0.8670971213344094,0.8862917640588478,3717.0
running,0.8155339805825242,0.6055045871559633,0.6949981195938323,1526.0
cycling,0.9194630872483222,0.8552477565353102,0.8861936527188194,2563.0
nordic_walking,0.9692307692307692,0.7961065573770492,0.8741796362272642,2928.0
ascending_stairs,0.6956759715380405,0.7029867256637168,0.699312242090784,1808.0
descending_stairs,0.5730791450028885,0.6146220570012392,0.5931240657698057,1614.0
vacuum_cleaning,0.7914046121593291,0.8302785923753666,0.8103756708407871,2728.0
ironing,0.7600967351874244,0.8453469607315761,0.800458423532408,3718.0
rope_jumping,0.48732083792723263,0.5800524934383202,0.5296584781306172,762.0
accuracy,0.7838007881055664,0.7838007881055664,0.7838007881055664,0.7838007881055664
macro avg,0.7680752108171331,0.7527134936663248,0.7557433175646494,30199.0
weighted avg,0.7990498722240864,0.7838007881055664,0.7869725091007594,30199.0
