,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2438,350,83,1,0,4,1,3,0,59,58,0
sitting,45,1930,634,0,1,3,2,3,0,56,207,1
standing,12,208,2519,3,0,3,0,5,1,26,179,0
walking,0,11,76,3223,5,0,25,177,169,8,21,2
running,8,5,46,8,924,1,2,23,25,6,32,446
cycling,9,27,29,2,0,2192,1,8,60,142,93,0
nordic_walking,0,56,23,13,7,3,2331,130,314,13,35,3
ascending_stairs,0,25,123,160,5,4,7,1271,141,24,45,3
descending_stairs,0,29,112,132,7,50,23,140,992,46,73,10
vacuum_cleaning,2,24,66,8,0,70,7,52,10,2265,224,0
ironing,1,113,208,0,0,54,1,1,7,190,3143,0
rope_jumping,0,6,41,6,184,0,5,14,12,27,25,442
