,precision,recall,f1-score,support
lying,0.786234281932495,0.8123076923076923,0.7990583487472676,2925.0
sitting,0.6544481054365733,0.5513532269257461,0.5984934086629002,2882.0
standing,0.5837048043585934,0.797361299052774,0.6740062911066629,2956.0
walking,0.9711745689655172,0.9698681732580038,0.9705209314847221,3717.0
running,0.92109375,0.772608125819135,0.8403421240199572,1526.0
cycling,0.9394917305365067,0.9087007413187671,0.9238397461324871,2563.0
nordic_walking,0.9804017638412543,0.6834016393442623,0.8053934393238076,2928.0
ascending_stairs,0.7171575502571295,0.8484513274336283,0.777299214593362,1808.0
descending_stairs,0.6506666666666666,0.7558859975216853,0.6993407853253081,1614.0
vacuum_cleaning,0.9078014184397163,0.8914956011730205,0.8995746254854818,2728.0
ironing,0.8536516853932584,0.8173749327595481,0.8351195383347073,3718.0
rope_jumping,0.6277456647398844,0.7211155378486056,0.6711990111248455,753.0
accuracy,0.8036390198552361,0.8036390198552361,0.8036390198552361,0.8036390198552361
macro avg,0.7994643325472995,0.7941603578969058,0.7911822886951257,30118.0
weighted avg,0.8192812701258897,0.8036390198552361,0.8057894879591626,30118.0
