,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2376,442,77,0,2,0,0,0,0,14,14,0
sitting,268,1589,837,0,0,28,0,2,5,42,111,0
standing,273,186,2357,0,0,0,0,0,9,3,128,0
walking,10,4,24,3605,4,1,6,11,33,1,15,3
running,10,19,29,4,1179,6,2,239,7,0,14,17
cycling,5,18,22,0,5,2329,4,7,27,115,24,7
nordic_walking,0,16,32,9,4,9,2001,137,488,14,12,206
ascending_stairs,17,12,48,31,20,8,5,1534,50,2,40,41
descending_stairs,16,12,43,54,4,50,4,119,1220,11,37,44
vacuum_cleaning,9,51,46,2,0,36,17,20,9,2432,106,0
ironing,36,69,506,0,1,10,1,3,7,42,3039,4
rope_jumping,2,10,17,7,61,2,1,67,20,3,20,543
