,precision,recall,f1-score,support
lying,0.978738236319275,0.96,0.9692785640317569,2925.0
sitting,0.8383233532934131,0.6800832755031229,0.7509578544061303,2882.0
standing,0.7285714285714285,0.7763870094722598,0.7517196200458566,2956.0
walking,0.9224288204532248,0.8541834813021254,0.8869953904176561,3717.0
running,0.9715254237288136,0.9390563564875491,0.9550149950016661,1526.0
cycling,0.882482556004407,0.9375731564572767,0.9091940976163451,2563.0
nordic_walking,0.9861866889912098,0.8046448087431693,0.8862140304683092,2928.0
ascending_stairs,0.6412997007268063,0.8296460176991151,0.7234145165179648,1808.0
descending_stairs,0.7087587318645889,0.8172242874845105,0.759136690647482,1614.0
vacuum_cleaning,0.8855633802816901,0.9219208211143695,0.9033764367816092,2728.0
ironing,0.8573600202685584,0.9101667563206025,0.8829745596868884,3718.0
rope_jumping,0.8899328859060402,0.8804780876494024,0.8851802403204272,753.0
accuracy,0.8569958164552759,0.8569958164552759,0.8569958164552759,0.8569958164552759
macro avg,0.857597602200788,0.8592803381861253,0.8552880829951742,30118.0
weighted avg,0.8655984759585866,0.8569958164552759,0.8582219454475948,30118.0
