,precision,recall,f1-score,support
lying,0.9766061452513967,0.9562393162393162,0.966315425807566,2925.0
sitting,0.6726110363391655,0.693615544760583,0.6829518278100444,2882.0
standing,0.7093630351548904,0.6894451962110961,0.6992623091439355,2956.0
walking,0.9491754528250879,0.944578961528114,0.9468716289104638,3717.0
running,0.9622641509433962,0.7352555701179554,0.8335809806835067,1526.0
cycling,0.9503875968992248,0.9566913772922356,0.9535290686369823,2563.0
nordic_walking,0.9854517611026034,0.8790983606557377,0.9292418772563177,2928.0
ascending_stairs,0.7833780160857908,0.808075221238938,0.7955349850258644,1808.0
descending_stairs,0.6743092298647855,0.7106567534076828,0.6920060331825038,1614.0
vacuum_cleaning,0.8660370759006646,0.907624633431085,0.8863432969393235,2728.0
ironing,0.8237454100367197,0.9050564819795589,0.8624887863642189,3718.0
rope_jumping,0.7541567695961995,0.8432934926958832,0.7962382445141066,753.0
accuracy,0.8492263762534032,0.8492263762534032,0.8492263762534032,0.8492263762534032
macro avg,0.8422904733333271,0.8358025757965155,0.837030372022903,30118.0
weighted avg,0.8535579622990778,0.8492263762534032,0.8499073984038298,30118.0
