,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2797,17,14,1,0,0,0,1,0,78,17,0
sitting,20,1999,575,3,9,3,15,17,10,33,196,2
standing,11,710,2038,4,0,0,0,3,12,10,168,0
walking,0,11,17,3511,5,0,3,120,24,9,17,0
running,1,7,24,6,1122,6,2,7,221,1,28,101
cycling,9,23,6,0,1,2452,11,1,8,18,34,0
nordic_walking,22,13,19,105,5,43,2574,4,39,70,33,1
ascending_stairs,2,24,13,46,10,0,1,1461,184,18,44,5
descending_stairs,0,32,21,16,11,4,6,230,1147,7,43,97
vacuum_cleaning,0,41,22,5,1,52,0,8,0,2476,122,1
ironing,0,86,108,2,0,20,0,0,0,137,3365,0
rope_jumping,2,9,16,0,2,0,0,13,56,2,18,635
