,precision,recall,f1-score,support
lying,0.8903420523138833,0.8858858858858859,0.8881083793276467,2997.0
sitting,0.6090561224489796,0.33136710617626647,0.42921348314606744,2882.0
standing,0.5932560590094836,0.5713802435723951,0.5821127003274168,2956.0
walking,0.8600591715976331,0.7820823244552058,0.8192193884740031,3717.0
running,0.9603040540540541,0.7450851900393185,0.8391143911439114,1526.0
cycling,0.864820173625465,0.8162309793211081,0.8398233641107988,2563.0
nordic_walking,0.8343854437430375,0.7674180327868853,0.7995018679950187,2928.0
ascending_stairs,0.6546577457539887,0.7035398230088495,0.67821914156225,1808.0
descending_stairs,0.41366742596810935,0.5625774473358116,0.4767655552638488,1614.0
vacuum_cleaning,0.5872229465449804,0.8255131964809385,0.6862715221697394,2728.0
ironing,0.6390355912743972,0.7485207100591716,0.6894586894586895,3718.0
rope_jumping,0.7343358395989975,0.7690288713910761,0.7512820512820513,762.0
accuracy,0.7113811715619722,0.7113811715619722,0.7113811715619722,0.7113811715619722
macro avg,0.7200952188277507,0.7090524842094094,0.7065908778551201,30199.0
weighted avg,0.724789604419165,0.7113811715619722,0.7100257574784734,30199.0
