,precision,recall,f1-score,support
lying,0.9890829694323144,0.9047936085219707,0.9450625869262865,1502.0
sitting,0.7558309037900874,0.7186417186417187,0.7367673179396093,1443.0
standing,0.6188222923238696,0.7952702702702703,0.6960378474275577,1480.0
walking,0.7860915492957746,0.9596990865126276,0.8642632470360513,1861.0
running,0.946164199192463,0.918954248366013,0.9323607427055703,765.0
cycling,0.9074355083459787,0.930739299610895,0.9189396849788706,1285.0
nordic_walking,0.967654986522911,0.7341513292433538,0.8348837209302326,1467.0
ascending_stairs,0.8493449781659389,0.8568281938325991,0.8530701754385965,908.0
descending_stairs,0.8973941368078175,0.6794081381011098,0.7733333333333333,811.0
vacuum_cleaning,0.8702970297029703,0.643956043956044,0.7402105263157894,1365.0
ironing,0.7217430776214253,0.8543793659322945,0.78248031496063,1861.0
rope_jumping,0.9761092150170648,0.7486910994764397,0.8474074074074074,382.0
accuracy,0.8208195637805684,0.8208195637805684,0.8208195637805684,0.8208195637805684
macro avg,0.8571642371848847,0.812126033538778,0.8270680754499945,15130.0
weighted avg,0.8372402514363174,0.8208195637805684,0.82168479584093,15130.0
