,precision,recall,f1-score,support
lying,0.9797909407665505,0.9360852197070573,0.9574395641811372,1502.0
sitting,0.8418038654259127,0.814968814968815,0.828169014084507,1443.0
standing,0.7825797872340425,0.7952702702702703,0.7888739946380697,1480.0
walking,0.9531079607415486,0.939279957012359,0.9461434370771312,1861.0
running,0.9699042407660738,0.9267973856209151,0.9478609625668449,765.0
cycling,0.9061068702290076,0.9237354085603113,0.9148362235067438,1285.0
nordic_walking,0.9464161447459986,0.9270620313565099,0.9366391184573003,1467.0
ascending_stairs,0.8485499462943072,0.8700440528634361,0.8591625883632409,908.0
descending_stairs,0.8328947368421052,0.7805178791615289,0.8058561425843411,811.0
vacuum_cleaning,0.7943409247757074,0.8432234432234432,0.8180525941719972,1365.0
ironing,0.8162650602409639,0.8737238044062332,0.8440176485855178,1861.0
rope_jumping,0.9485714285714286,0.8691099476439791,0.907103825136612,382.0
accuracy,0.87871777924653,0.87871777924653,0.87871777924653,0.87871777924653
macro avg,0.8850276588861372,0.8749848512329049,0.8795129261127869,15130.0
weighted avg,0.8806805971986645,0.87871777924653,0.8792926364619889,15130.0
