,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,1359,12,50,0,0,0,0,1,0,51,28,1
sitting,0,1037,272,0,1,6,0,0,4,12,111,0
standing,9,166,1177,4,3,1,3,3,1,15,98,0
walking,0,2,35,1786,0,0,4,11,7,1,13,2
running,0,2,17,4,703,4,4,11,8,0,12,0
cycling,0,20,14,1,0,1196,3,3,1,7,40,0
nordic_walking,0,12,25,323,0,0,1077,6,1,2,21,0
ascending_stairs,0,6,39,39,2,2,4,778,19,4,14,1
descending_stairs,0,14,43,98,0,9,14,43,551,11,25,3
vacuum_cleaning,0,9,81,11,2,88,2,42,7,879,244,0
ironing,5,89,139,1,0,10,0,0,3,24,1590,0
rope_jumping,1,3,10,5,32,2,2,18,12,4,7,286
