,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,1406,3,48,0,1,0,0,1,0,19,24,0
sitting,10,1176,116,0,4,9,0,0,0,29,99,0
standing,18,150,1177,8,2,0,9,2,0,20,94,0
walking,0,1,17,1748,2,7,19,23,27,12,5,0
running,0,1,12,1,709,4,6,12,6,5,7,2
cycling,0,8,4,0,0,1187,5,7,14,52,8,0
nordic_walking,0,9,7,41,0,2,1360,6,20,4,14,4
ascending_stairs,0,3,32,17,1,2,12,790,27,8,11,5
descending_stairs,0,3,25,13,8,8,21,62,633,26,7,5
vacuum_cleaning,0,8,20,6,1,48,1,20,14,1151,95,1
ironing,1,35,46,0,0,41,0,0,0,111,1626,1
rope_jumping,0,0,0,0,3,2,4,8,19,12,2,332
