feature,importance
chest_acc16_y_std,0.017793325334632345
chest_acc16_y_max,0.017653980850912784
ankle_acc16_y_std,0.017096846748166184
heart_rate_mean,0.01639689088668215
ankle_gyro_z_rms,0.01562640793888173
chest_acc16_y_mad,0.01519436429811151
ankle_acc16_x_energy,0.01501369568915095
ankle_gyro_z_mad,0.014669867142642627
chest_acc16_y_min,0.014403006030057114
ankle_acc16_y_mad,0.014399507206473133
ankle_acc16_x_mad,0.013729447651307302
ankle_acc16_x_rms,0.013665320657081818
ankle_gyro_z_fft_energy,0.013492305744026675
ankle_gyro_z_energy,0.01341760687288783
ankle_acc16_x_std,0.013140282778665979
hand_acc16_y_fft_energy,0.013097792106670674
heart_rate_energy,0.012920921731739525
ankle_acc16_x_fft_energy,0.012892055480242694
hand_acc16_y_energy,0.012826634470568588
hand_acc16_y_rms,0.012705534072618326
ankle_acc16_x_max,0.012664104099682853
chest_acc16_y_energy,0.012557080745918294
ankle_acc16_x_min,0.012392189181079719
ankle_acc16_x_iqr,0.011935895395172334
ankle_gyro_z_std,0.011902327922742786
chest_acc16_y_rms,0.011789619919793768
heart_rate_min,0.011472148471135517
heart_rate_median,0.01137155944342685
chest_acc16_y_fft_energy,0.011262793818908936
heart_rate_max,0.010935483341211805
hand_acc16_y_std,0.010659401642431031
heart_rate_fft_energy,0.010376366620902263
ankle_gyro_z_max,0.010318349957459802
heart_rate_rms,0.010253186340531673
chest_acc16_z_median,0.00939342335560462
chest_acc16_y_mean,0.009319927068497876
hand_acc16_x_mean,0.009265316034006472
ankle_acc16_x_mean,0.008764189795566311
ankle_gyro_x_energy,0.00872955781086877
hand_acc16_y_iqr,0.008726541089458048
hand_acc16_x_median,0.008634863421927465
hand_acc16_x_max,0.008498740911583431
ankle_acc16_z_std,0.008489421963927418
ankle_acc16_x_median,0.0084464401049582
hand_acc16_y_mad,0.007605234164093595
hand_acc16_x_energy,0.007525891878216857
chest_acc16_z_fft_energy,0.007476886589269071
chest_acc16_y_iqr,0.007406008677041046
chest_acc16_z_mean,0.007387380953023211
hand_acc16_x_fft_energy,0.007293919752525739
ankle_gyro_x_std,0.006995324143557962
chest_gyro_y_energy,0.006865413347860918
chest_acc16_y_median,0.006836621146811338
chest_acc16_z_min,0.006777326278109192
chest_acc16_z_max,0.006651682345052329
chest_acc16_z_rms,0.006642716015119452
chest_gyro_x_energy,0.006637554315363925
chest_gyro_y_std,0.006322086979869028
hand_acc16_x_rms,0.006309770391258304
hand_acc16_z_mean,0.00625136585852128
chest_gyro_x_rms,0.006223784330230068
chest_acc16_z_energy,0.006181889997157285
chest_gyro_x_max,0.006174667353433584
ankle_gyro_z_min,0.00613243663428291
ankle_gyro_z_iqr,0.0059851848759519865
hand_acc16_z_median,0.005975270996961458
hand_acc16_x_min,0.005840034450753109
ankle_acc16_y_min,0.005756906860466154
hand_acc16_x_std,0.005548569700005123
chest_gyro_y_rms,0.005444471475758141
ankle_acc16_y_max,0.005309880820194692
chest_gyro_x_std,0.005179138726238075
chest_gyro_y_iqr,0.005085764590886201
hand_acc16_z_fft_energy,0.005075327165255667
chest_gyro_y_mad,0.0049991669041259046
hand_acc16_x_mad,0.004901016195230932
hand_acc16_y_max,0.004841337952182859
chest_gyro_y_fft_energy,0.004684025991603292
chest_gyro_x_fft_energy,0.004652235536376105
ankle_gyro_x_rms,0.004561060005281789
hand_acc16_z_rms,0.004530267385759235
hand_gyro_z_mad,0.004419317493675443
ankle_acc16_y_energy,0.004396367701431626
ankle_gyro_x_mad,0.0040720484483384375
chest_gyro_x_mad,0.004036404289733037
hand_gyro_z_iqr,0.003981589733261715
hand_acc16_y_entropy,0.003794970452011457
hand_acc16_z_energy,0.0037543891874619586
ankle_acc16_y_rms,0.003669132540006583
ankle_acc16_y_iqr,0.00360606003332261
hand_acc16_z_max,0.0034592040266966445
ankle_gyro_y_min,0.0034477029205502324
hand_acc16_y_kurtosis,0.003430471420147663
hand_acc16_x_iqr,0.0034049170556839656
hand_acc16_z_mad,0.003352347039886948
hand_gyro_z_std,0.0033379698244113435
ankle_acc16_y_fft_energy,0.0032727426344986454
chest_gyro_y_max,0.002975220619838272
chest_acc16_x_std,0.0028662701657420995
hand_acc16_z_entropy,0.002851690898026611
hand_gyro_z_rms,0.0028515639029755
chest_gyro_z_energy,0.0028359254165355803
hand_acc16_z_min,0.00277069381344327
hand_acc16_y_mean,0.002721865124097348
chest_gyro_x_iqr,0.002614089373305717
ankle_gyro_x_fft_energy,0.0025599120635705045
chest_acc16_x_iqr,0.002553608878887517
chest_acc16_x_energy,0.002532286899384219
hand_acc16_z_std,0.002531220792146329
hand_acc16_z_iqr,0.002519466764055938
hand_gyro_z_energy,0.002425813099181623
ankle_acc16_z_min,0.0023416995524934417
ankle_gyro_x_min,0.0023391086287656107
ankle_acc16_y_median,0.0023243947334915206
hand_acc16_z_kurtosis,0.0021832846629515953
chest_acc16_x_rms,0.002176880927676462
chest_acc16_z_std,0.0021535726027417505
ankle_gyro_x_mean,0.0021349023417688404
hand_gyro_y_energy,0.0021241871686031324
hand_gyro_y_std,0.0020776910341467852
chest_gyro_z_rms,0.0020722867309560682
ankle_acc16_z_mad,0.0020549777559941986
chest_acc16_x_fft_energy,0.0020509969376959745
hand_gyro_y_iqr,0.0020227776778678447
hand_acc16_y_median,0.001998758666119421
hand_gyro_z_fft_energy,0.0019443625521513746
hand_gyro_y_rms,0.0019223077527080698
ankle_gyro_y_fft_energy,0.0018415280309185215
chest_gyro_z_std,0.0017845249719701606
chest_gyro_y_min,0.0017725682237369974
chest_gyro_y_mean,0.00175838891980227
chest_acc16_x_mean,0.0017351484725969834
hand_gyro_x_iqr,0.0017075511693941958
hand_gyro_z_max,0.0016548698600903496
chest_gyro_z_mad,0.0016133526716732474
hand_acc16_y_min,0.0016094799648213953
ankle_acc16_z_energy,0.0016021559596019759
ankle_gyro_y_mean,0.0015541521743439703
chest_acc16_z_mad,0.0015516254659617135
chest_gyro_y_median,0.0015350863817142695
ankle_acc16_z_mean,0.001508109499877354
hand_gyro_x_mad,0.0014898604509131675
hand_gyro_y_mad,0.001480324253783728
ankle_acc16_y_mean,0.0014615675500517366
chest_acc16_x_median,0.0014487646093157551
chest_acc16_x_min,0.0014309536994870657
hand_gyro_y_fft_energy,0.001428083745971491
ankle_acc16_z_fft_energy,0.0014119623477434435
hand_gyro_z_min,0.001383015450903739
chest_acc16_z_iqr,0.0013381091851374183
ankle_gyro_y_std,0.0013272278340454033
ankle_acc16_z_rms,0.0013238439081250536
ankle_acc16_y_entropy,0.0013157413695187663
ankle_gyro_y_energy,0.0013148509349123502
ankle_acc16_x_entropy,0.0013027695500436936
chest_acc16_x_mad,0.0012935393096298491
ankle_acc16_z_median,0.0012725017228628814
chest_gyro_z_fft_energy,0.0012638899890709521
ankle_acc16_y_skew,0.0012311020888830899
chest_acc16_x_max,0.0012025992582445737
hand_gyro_y_max,0.0011950893150643284
hand_acc16_y_skew,0.0011335492502317836
hand_gyro_x_std,0.0011302058925609943
chest_gyro_z_fft_argmax,0.0011204625173117328
hand_gyro_x_rms,0.001102616160177421
hand_gyro_x_fft_energy,0.001062515204714463
ankle_gyro_x_iqr,0.0010560662501101642
ankle_acc16_z_max,0.0010404628587400656
ankle_gyro_x_median,0.0010133370434113151
hand_gyro_x_entropy,0.0009745100991533009
ankle_gyro_z_median,0.000953341562936272
ankle_gyro_z_skew,0.0009418677634930532
ankle_gyro_y_mad,0.0009390382882771986
ankle_acc16_z_iqr,0.0009356889669245743
ankle_acc16_x_kurtosis,0.0009315239644896038
hand_acc16_z_skew,0.0009138673366422767
hand_gyro_x_energy,0.0009102496380852463
ankle_acc16_y_kurtosis,0.0008641207902969114
chest_acc16_z_kurtosis,0.0008469010233982744
hand_gyro_x_median,0.0008208624654897121
ankle_gyro_y_rms,0.0007791531608527605
chest_gyro_z_iqr,0.0007563793862290898
hand_gyro_y_min,0.0007431208675295784
hand_gyro_x_mean,0.000741066166022668
