,precision,recall,f1-score,support
lying,0.9853281853281853,0.8515181848515182,0.9135493109003042,2997.0
sitting,0.6532744073925271,0.5641915336571826,0.605473840997952,2882.0
standing,0.7424812030075187,0.6681326116373477,0.7033475783475783,2956.0
walking,0.6829519156595526,0.7145547484530536,0.6983960031554036,3717.0
running,0.6494549627079748,0.7418086500655308,0.6925665341082899,1526.0
cycling,0.824692279000373,0.8626609442060086,0.8432494279176201,2563.0
nordic_walking,0.7643923240938166,0.48975409836065575,0.5970024979184013,2928.0
ascending_stairs,0.6381435823060189,0.48672566371681414,0.5522434891747725,1808.0
descending_stairs,0.2840013703323056,0.5136307311028501,0.3657621883962056,1614.0
vacuum_cleaning,0.5046161962542864,0.7012463343108505,0.5868998312624636,2728.0
ironing,0.6101129363449692,0.6393222162452932,0.6243761491988442,3718.0
rope_jumping,0.6538461538461539,0.24540682414698162,0.3568702290076336,762.0
accuracy,0.6547236663465678,0.6547236663465678,0.6547236663465678,0.6547236663465678
macro avg,0.6661079596894736,0.6232460450628406,0.6283114233654558,30199.0
weighted avg,0.6843714324221437,0.6547236663465678,0.6592029267844682,30199.0
