,precision,recall,f1-score,support
lying,0.9436052366565961,0.9379379379379379,0.9407630522088354,2997.0
sitting,0.7717269675494218,0.7179042331714087,0.7438432500449398,2882.0
standing,0.7241254958528669,0.6792963464140731,0.700994938034561,2956.0
walking,0.9132669450690653,0.7648641377454937,0.8325036603221083,3717.0
running,0.963855421686747,0.7863695937090432,0.8661133164922411,1526.0
cycling,0.8327109783420463,0.870074131876707,0.8509826369013547,2563.0
nordic_walking,0.9113260781942765,0.7721994535519126,0.8360140506563135,2928.0
ascending_stairs,0.6469317199654279,0.8279867256637168,0.7263464337700145,1808.0
descending_stairs,0.5261113508847648,0.7552664188351921,0.6201984227931824,1614.0
vacuum_cleaning,0.7106769956214214,0.7734604105571847,0.7407407407407407,2728.0
ironing,0.7895398541614282,0.8445400753093061,0.816114359974009,3718.0
rope_jumping,0.9017857142857143,0.7952755905511811,0.8451882845188284,762.0
accuracy,0.7945296201860989,0.7945296201860989,0.7945296201860989,0.7945296201860989
macro avg,0.8029718965224814,0.7937645879435965,0.7933169288714272,30199.0
weighted avg,0.809327050212794,0.7945296201860989,0.7978313462891383,30199.0
