,precision,recall,f1-score,support
lying,0.8159912376779846,0.7457457457457457,0.7792887029288703,2997.0
sitting,0.6966386554621848,0.57529493407356,0.6301786393006461,2882.0
standing,0.6466074313408724,0.5416102841677943,0.5894698085419735,2956.0
walking,0.8413631022326674,0.770513855259618,0.8043814071057436,3717.0
running,0.8093599449415003,0.7706422018348624,0.7895266868076536,1526.0
cycling,0.8264683447749809,0.8454935622317596,0.8358727097396336,2563.0
nordic_walking,0.8839717367050949,0.8118169398907104,0.8463592665123731,2928.0
ascending_stairs,0.662613981762918,0.7234513274336283,0.6916975145425701,1808.0
descending_stairs,0.41356330850646805,0.6536555142503098,0.5066026410564226,1614.0
vacuum_cleaning,0.5631641086186541,0.6994134897360704,0.6239372138652715,2728.0
ironing,0.7251287611818921,0.7194728348574503,0.7222897259349265,3718.0
rope_jumping,0.6666666666666666,0.7296587926509186,0.6967418546365914,762.0
accuracy,0.7145931984502798,0.7145931984502798,0.7145931984502798,0.7145931984502798
macro avg,0.7126281066559903,0.7155641235110356,0.7096955142477231,30199.0
weighted avg,0.7298051303837764,0.7145931984502798,0.718437627720303,30199.0
