,precision,recall,f1-score,support
lying,0.9475240206947524,0.8555221888555222,0.8991758723478871,2997.0
sitting,0.6774749913763367,0.6814712005551701,0.679467220204117,2882.0
standing,0.5295893719806763,0.5933694181326117,0.5596681557115507,2956.0
walking,0.966762543943752,0.8138283562012376,0.8837277242185217,3717.0
running,0.9116883116883117,0.9200524246395806,0.9158512720156555,1526.0
cycling,0.9708090075062552,0.908310573546625,0.9385204595847612,2563.0
nordic_walking,0.965865992414665,0.7827868852459017,0.8647425014148273,2928.0
ascending_stairs,0.5360747663551402,0.793141592920354,0.639750167298684,1808.0
descending_stairs,0.738255033557047,0.6815365551425031,0.7087628865979382,1614.0
vacuum_cleaning,0.7645184135977338,0.7914222873900293,0.7777377521613833,2728.0
ironing,0.7225359342915811,0.7571274878967187,0.7394273706330444,3718.0
rope_jumping,0.6374085684430512,0.800524934383202,0.7097149505526469,762.0
accuracy,0.776482664988907,0.776482664988907,0.776482664988907,0.776482664988907
macro avg,0.7807089129874419,0.7815911587424546,0.7763788610617514,30199.0
weighted avg,0.7972806191305375,0.776482664988907,0.7827910396400158,30199.0
