,precision,recall,f1-score,support
lying,0.9729441082235671,0.9119119119119119,0.9414398897692042,2997.0
sitting,0.7546279491833031,0.7213740458015268,0.7376263970196913,2882.0
standing,0.6282736504543025,0.7953315290933695,0.702000597193192,2956.0
walking,0.7964740013389868,0.9601829432337907,0.8707001707733594,3717.0
running,0.9481481481481482,0.9226736566186108,0.9352374626369977,1526.0
cycling,0.9201375620940008,0.9395239953179867,0.9297297297297298,2563.0
nordic_walking,0.9629464285714285,0.7366803278688525,0.8347523219814241,2928.0
ascending_stairs,0.8496484586262845,0.8689159292035398,0.8591741864916599,1808.0
descending_stairs,0.8921259842519685,0.7019826517967782,0.7857142857142857,1614.0
vacuum_cleaning,0.8820960698689956,0.6664222873900293,0.7592399248277302,2728.0
ironing,0.7458615061785964,0.8604088219472835,0.7990508305232921,3718.0
rope_jumping,0.9667221297836939,0.7624671916010499,0.8525311812179017,762.0
accuracy,0.8280737772773933,0.8280737772773933,0.8280737772773933,0.8280737772773933
macro avg,0.8600004997269396,0.8206562743153941,0.8339330814898723,30199.0
weighted avg,0.8419247318599689,0.8280737772773933,0.8287129189437776,30199.0
