,precision,recall,f1-score,support
lying,0.9311314125087843,0.8842175508842175,0.9070682868389526,2997.0
sitting,0.803485987696514,0.8157529493407356,0.8095730027548209,2882.0
standing,0.7374170893484199,0.6393775372124493,0.6849066859938394,2956.0
walking,0.9135289535185666,0.9464622006994888,0.9297040169133193,3717.0
running,0.9130747126436781,0.8328964613368283,0.8711446196024675,1526.0
cycling,0.9031657355679702,0.9461568474444011,0.9241615853658537,2563.0
nordic_walking,0.9201561391057488,0.8855874316939891,0.9025408980160111,2928.0
ascending_stairs,0.7996837111228255,0.8390486725663717,0.81889338731444,1808.0
descending_stairs,0.8159509202453987,0.741635687732342,0.7770204479065238,1614.0
vacuum_cleaning,0.7548988114359139,0.8614369501466276,0.8046567368601267,2728.0
ironing,0.7848509266720387,0.7859064012910166,0.7853783093670206,3718.0
rope_jumping,0.6917211328976035,0.8333333333333334,0.7559523809523809,762.0
accuracy,0.8384052452067949,0.8384052452067949,0.8384052452067949,0.8384052452067949
macro avg,0.830755461063622,0.8343176686401502,0.8309166964904797,30199.0
weighted avg,0.8394756980180518,0.8384052452067949,0.8377246173816888,30199.0
