,precision,recall,f1-score,support
lying,0.959551325628824,0.9419419419419419,0.9506650951338609,2997.0
sitting,0.8523757707653247,0.8154059680777238,0.833481113672637,2882.0
standing,0.7854706684856753,0.7790933694181326,0.7822690217391305,2956.0
walking,0.9536279323513366,0.9405434490180253,0.9470404984423676,3717.0
running,0.9746053534660261,0.9305373525557011,0.9520616828695944,1526.0
cycling,0.9112996529116854,0.9219664455715958,0.9166020170674942,2563.0
nordic_walking,0.9521313766596785,0.9306693989071039,0.9412780656303973,2928.0
ascending_stairs,0.8485169491525424,0.8860619469026548,0.8668831168831169,1808.0
descending_stairs,0.8359273670557718,0.798636926889715,0.8168567807351077,1614.0
vacuum_cleaning,0.7881908685204256,0.841642228739003,0.8140400638184719,2728.0
ironing,0.8243380855397149,0.8708983324367939,0.8469788124509547,3718.0
rope_jumping,0.9374130737134909,0.884514435695538,0.9101958136394328,762.0
accuracy,0.8801284810755323,0.8801284810755323,0.8801284810755323,0.8801284810755323
macro avg,0.8852873686875414,0.8784926496794939,0.8815293401735472,30199.0
weighted avg,0.881560513047983,0.8801284810755323,0.8805258830714424,30199.0
