,precision,recall,f1-score,support
lying,0.9834710743801653,0.8735402068735402,0.9252518112740767,2997.0
sitting,0.8247066942719117,0.8292852185981957,0.8269896193771626,2882.0
standing,0.7309773957338427,0.7767253044654939,0.7531572904707233,2956.0
walking,0.9621503017004936,0.9437718590260963,0.9528724704604101,3717.0
running,0.8786337209302325,0.7922673656618611,0.8332184700206754,1526.0
cycling,0.8913761467889908,0.9477175185329691,0.9186838124054463,2563.0
nordic_walking,0.9529780564263323,0.8306010928961749,0.8875912408759125,2928.0
ascending_stairs,0.7762307309796121,0.8633849557522124,0.8174914899188269,1808.0
descending_stairs,0.7552050473186119,0.741635687732342,0.7483588621444202,1614.0
vacuum_cleaning,0.8111111111111111,0.8563049853372434,0.833095577746077,2728.0
ironing,0.8326793721973094,0.7990855298547607,0.8155366456217403,3718.0
rope_jumping,0.5281385281385281,0.800524934383202,0.6364110589462703,762.0
accuracy,0.8462863008708897,0.8462863008708897,0.8462863008708897,0.8462863008708897
macro avg,0.8273048483314286,0.8379037215928409,0.8290548624384786,30199.0
weighted avg,0.8546786950217108,0.8462863008708897,0.8485426624458391,30199.0
