,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2811,26,69,0,1,4,2,5,0,37,42,0
sitting,6,2069,403,0,8,22,1,9,0,52,312,0
standing,150,423,2008,70,6,0,49,20,6,73,149,2
walking,0,1,24,2843,6,18,33,348,373,47,22,2
running,0,17,3,10,1200,6,9,22,226,5,17,11
cycling,0,8,0,0,0,2230,16,36,30,226,17,0
nordic_walking,0,14,14,119,2,16,2261,229,230,10,32,1
ascending_stairs,7,7,48,31,0,21,28,1497,87,54,16,12
descending_stairs,0,4,41,36,19,21,54,101,1219,62,25,32
vacuum_cleaning,5,13,59,4,0,261,14,31,37,2110,188,6
ironing,0,99,97,0,0,75,7,6,17,277,3140,0
rope_jumping,0,0,7,0,3,4,7,10,92,16,17,606
