,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2823,8,83,1,0,0,0,3,0,35,44,0
sitting,24,2350,234,0,7,18,0,6,0,47,196,0
standing,83,278,2303,41,6,0,22,0,3,45,175,0
walking,2,1,33,3496,5,11,32,50,57,20,8,2
running,0,1,24,3,1420,4,7,28,13,5,13,8
cycling,0,13,6,0,0,2363,5,18,40,108,10,0
nordic_walking,0,15,10,73,1,5,2725,18,31,10,32,8
ascending_stairs,3,5,59,23,0,8,17,1602,43,24,14,10
descending_stairs,0,6,45,16,13,15,37,116,1289,54,13,10
vacuum_cleaning,1,11,44,13,0,108,3,31,33,2296,182,6
ironing,6,69,91,0,0,60,0,0,0,253,3238,1
rope_jumping,0,0,0,0,5,1,14,16,33,16,3,674
